Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only
79;68.6236559139785;67.0215053763441;56.5806451612903;55.7173913043478;137.161290322581;67.752688172043;68.6236559139785;141.733333333333;67.752688172043
80;73.5588235294118;72.921568627451;61.3921568627451;60.1980198019802;138.176470588235;74.6930693069307;73.5588235294118;138.176470588235;74.6930693069307
81;73.0674157303371;73.2888888888889;60.1868131868132;59.3956043956044;139.648351648352;74.0111111111111;73.0674157303371;146.068965517241;74.0111111111111
82;75.3103448275862;72.3720930232558;62.2272727272727;61.0689655172414;133.909090909091;75.3333333333333;75.3103448275862;137.023255813954;75.3333333333333
83;79.4302325581395;74.3023255813954;63.4186046511628;61.6860465116279;118.802325581395;79.2441860465116;79.4302325581395;118.802325581395;79.2441860465116
84;78.1666666666667;75.7948717948718;62.9230769230769;62.474358974359;122.089743589744;76.9102564102564;78.1666666666667;126.973333333333;76.9102564102564
85;79.4794520547945;76.3561643835616;63.3835616438356;62.4383561643836;124.41095890411;76.5205479452055;79.4794520547945;126.138888888889;76.5205479452055
86;85.6;81.8115942028986;70.6857142857143;69.6231884057971;147.814285714286;86.1285714285714;85.6;147.814285714286;86.1285714285714
87;88.3970588235294;82.8358208955224;70.6176470588235;69.1617647058824;130.691176470588;86.9558823529412;88.3970588235294;138.859375;86.9558823529412
88;83.9565217391304;81.8840579710145;68.6811594202899;67.9855072463768;156.04347826087;83.3043478260869;83.9565217391304;158.338235294118;83.3043478260869
89;82.6825396825397;77.1269841269841;64.1746031746032;62.952380952381;126.698412698413;79.6190476190476;83.758064516129;130.459016393443;80.6290322580645
90;88.2931034482759;84.7413793103448;72.5254237288136;71.7413793103448;147.949152542373;86.8448275862069;88.2931034482759;155.875;86.8448275862069
91;89.4086956521739;86.1217391304348;70.75;70.4736842105263;151.525862068966;89.2695652173913;89.4086956521739;152.84347826087;89.2695652173913
92;96.2100840336134;90.3109243697479;74.8151260504202;73.9495798319328;163.705882352941;93.4705882352941;96.2100840336134;169.4;93.4705882352941
93;92.7164179104478;87.8208955223881;73.6641791044776;72.2313432835821;148.55223880597;92.0522388059701;92.7164179104478;151.954198473282;92.0522388059701
94;95.6490066225166;92.4078947368421;76.5194805194805;75.3071895424837;147.123376623377;94.4144736842105;95.6490066225166;152.060402684564;94.4144736842105
95;109.115942028986;100.891304347826;85.3309352517986;83.9416058394161;174.330935251799;104.04347826087;109.115942028986;178.176470588235;104.04347826087
96;98.0675675675676;91.4452054794521;77.2837837837838;76.5374149659864;152.662162162162;95.7094594594595;98.0675675675676;156.902777777778;95.7094594594595
97;108.463768115942;101.101449275362;85.3597122302158;84.2805755395684;172.992805755396;105.413043478261;108.463768115942;176.808823529412;105.413043478261
98;112.699300699301;106.79020979021;89.2657342657343;87.951048951049;167.321678321678;110.72027972028;112.699300699301;173.384057971015;110.72027972028
99;119.125;111.201388888889;94.7777777777778;93.2847222222222;191.180555555556;115.243055555556;119.125;196.642857142857;115.243055555556
100;111.735714285714;107.107142857143;88.6879432624114;86.5714285714286;182.31914893617;109.542857142857;111.735714285714;186.282608695652;109.542857142857
