Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only Old;Crossing Only Old;Mixed;Angular Only;Crossing Only
33;1187.0243902439;1778.32317073171;1528.63855421687;1399.69277108434;1294.50609756098;2691.83734939759;1268.01886792453;1547.07547169811;2914.78846153846
34;1155.32620320856;1937.13368983957;1821.1329787234;1532.46808510638;1413.58823529412;2729.96808510638;1214.90322580645;1609.35483870968;3184.06451612903
35;1357.64432989691;2035.44329896907;1789.23979591837;1854.43367346939;1621.65128205128;2490.09693877551;1380.46739130435;1631.64516129032;2783.05376344086
36;1430.89105058366;2140.109375;1869.18677042802;1852.15564202335;1884.01167315175;2872.84435797665;1422.64367816092;1891.41379310345;3045.99401197605
37;1234.35785953177;2065.45484949833;1827.86;1905.16333333333;1646.05685618729;2610.64333333333;1318.22222222222;1607.29797979798;2428.63265306122
38;1423.07371794872;2288.59294871795;2031.67092651757;1948.07028753994;1738.09646302251;2816.71884984026;1448.8976744186;1723.57009345794;2869.87142857143
39;1413.66369047619;2099.14285714286;1952.91420118343;1981.40178571429;1732.33035714286;2588.02366863905;1369.98062015504;1702.44186046512;2571.57874015748
40;1459.95714285714;2293.75539568345;2022.83928571429;2138.99641577061;1842.93928571429;2805.05;1403.4140969163;1787.68281938326;2760.91150442478
41;1484.88209606987;2397.33771929825;2045.50869565217;1965.91703056769;1818.12227074236;2602.96086956522;1366.04232804233;1704.29100529101;2687.28648648649
42;1390.18918918919;2136.06756756757;1994.85585585586;1985.06306306306;1709.51583710407;2817.01801801802;1335.68421052632;1741.42857142857;2840.10638297872
43;1418.70689655172;2027.58189655172;1888.5775862069;2092.51948051948;1855.89224137931;2451.39224137931;1376.17961165049;1791.09708737864;2532.92118226601
44;1434.4595959596;2289.21319796954;1976.37878787879;2027.55612244898;1769.0404040404;2872.93434343434;1394.53846153846;1729.37278106509;2896.19047619048
45;1242.56213017751;1996.14201183432;2075.19298245614;1847.43529411765;1720.45833333333;2728.0701754386;1246.46153846154;1710.6338028169;2666.8661971831
46;1496.52739726027;2504.40136054422;1929.27702702703;2028.75675675676;1717.49315068493;2571.77702702703;1428.13385826772;1555.47244094488;2525.1875
47;1535.39682539683;2293.13709677419;2093.75396825397;2112.68253968254;1901.7380952381;2824.92063492063;1459.08256880734;1971.25688073394;2898.21296296296
48;1398.10416666667;2264.63541666667;1918.46875;2075.5625;1827.11458333333;2483.54166666667;1406.62025316456;1818.83544303797;2537.20512820513
49;1374.9175257732;2446.15463917526;2092.68041237113;1928.76288659794;1877.11340206186;2877.17525773196;1349.76470588235;1866.63529411765;3019.13253012048
50;1396.84482758621;1972.72413793103;1937.72881355932;2065.59322033898;1545.65517241379;2673.03389830508;1343.36734693878;1463.91836734694;2847.27659574468
51;1246.575;2379.575;2226.375;2213.2;1929.8125;2466.025;1233.38571428571;1931.14285714286;2427.98571428571
52;1390.22727272727;2326.64772727273;1992.14606741573;1854.04494382022;2156.32954545455;2626.93258426966;1407.32142857143;2127.17857142857;2677.60714285714
53;1389.69298245614;2250.125;2071.85217391304;2107.17543859649;1777.62831858407;2469.22608695652;1412.01851851852;1753.02803738318;2464.03846153846
54;1473.83177570093;2290.3738317757;1901.87037037037;2034.86111111111;1803.97169811321;2577.68518518519;1476.81553398058;1776.48039215686;2534.53921568627
55;1283.42857142857;2414.61904761905;1968.33858267717;1986.51587301587;1751.08;2558.99212598425;1318.04347826087;1791.00877192982;2616.52173913044
56;1404.75912408759;2344.70072992701;2002.43065693431;2229.00729927007;1959.70802919708;2601.45255474453;1409.11904761905;1958.29365079365;2644.28455284553
57;1424.94339622642;2257.6320754717;1886.44339622642;2132.28301886792;1920.66981132075;2437.45283018868;1432.90476190476;1930.87619047619;2419.53333333333
58;1391.28695652174;2413.78070175439;2115.49565217391;1901.0347826087;1970.2;2510.55652173913;1369.2641509434;1923.38679245283;2459.82857142857
59;1563.42592592593;2184.43518518518;2198.83486238532;2175.18348623853;1712.93518518519;2541.77064220183;1540.38317757009;1680.40186915888;2552.53773584906
60;1344.81679389313;2353.45038167939;1998.17557251908;1814.24427480916;1825.85496183206;2452.92366412214;1356.35714285714;1802.4126984127;2510.11382113821
61;1455.49068322981;2268.74842767296;1956.54658385093;2149.3;1764.16770186335;2656.3850931677;1430.32704402516;1758.82389937107;2724.06369426752
62;1414.00666666667;2165.41333333333;1849.6821192053;1737.84105960265;1607.58666666667;2468.37086092715;1412.27702702703;1572.11486486486;2537.54109589041
