n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;empty;empty2
54;55.929926923077;75.7074942307692;56.2069666666667;65.4556913461538;14.6072384615385;9.79212884615384;14.9526133333333;10.9475076923077;2.12584139594859;52.0373824762972;2.09996061646865;2.63204842758958;26.1538461538462;30.6923076923077;25.5166666666667;22.8653846153846;783.144230769231;480.990384615385;783.144230769231;347.384615384615;1260.57692307692;1049.03846153846;950.961538461539;;
55;54.3864887931034;74.858322413793;54.8648352941176;63.4676232758621;15.1015551724138;10.1355887931035;15.9703955882353;11.237925;2.26723858465913;35.0118687229696;2.25416876096815;2.50689425599584;27.8448275862069;30.6637931034483;26.7794117647059;25.2241379310345;1131.70689655172;522.98275862069;1131.70689655172;351.818965517241;1291.37931034483;1029.31034482759;1418.96551724138;;
56;53.0674333333333;73.4718166666666;51.221596875;64.4856150793651;13.634623015873;9.62125555555555;13.4169078125;10.4817658730159;2.21892174559432;46.4028354312336;2.26060344417773;2.68389714321911;29.047619047619;33.1666666666667;31.25;25.6507936507937;533.190476190476;528.142857142857;533.190476190476;369.047619047619;1304.7619047619;1110.31746031746;631.746031746032;;
57;52.1971819047619;74.1288257142857;50.1935980769231;63.2873361904762;13.3923885714286;9.90192666666666;11.7224538461538;10.3182885714286;2.27790517347103;49.8522067583442;2.37817955212454;2.70284959301757;29.8952380952381;33.7619047619048;32.6923076923077;25.9047619047619;654.4;554.914285714286;654.4;349.819047619048;1316.19047619048;987.619047619048;778.095238095238;;
58;54.2774933962264;74.0691811320755;55.2514071428571;66.0349386792453;14.6472160377359;9.4908537735849;15.0208023809524;10.6761622641509;2.18034011175338;50.384471186639;2.17017301972034;2.61185333330871;29.0849056603774;32.2169811320755;28.8095238095238;25.5471698113208;887.198113207547;567.556603773585;887.198113207547;395.462264150943;1357.54716981132;1123.58490566038;1016.98113207547;;
59;51.5720592592593;72.4387425925926;50.613875;63.4502935185185;13.9419925925926;9.7934675925926;13.0676145833333;10.1971592592593;2.23418983154963;40.5917954181426;2.26703363651975;2.66835163743847;31.8796296296296;34.7962962962963;31.9166666666667;27.9814814814815;731.62037037037;607.101851851852;731.62037037037;447.194444444444;1430.55555555556;1282.40740740741;786.111111111111;;
60;51.8959642857143;72.1172190476191;51.8959642857143;60.5548896825397;14.052123015873;8.84119206349207;14.052123015873;10.4663912698413;2.2327937757898;47.305129943912;2.2327937757898;2.63310599427122;31.6428571428571;35.6587301587302;31.6428571428571;28.4603174603175;1082.52380952381;593.984126984127;1082.52380952381;359.039682539683;1382.53968253968;1019.04761904762;1207.14285714286;;
61;50.3557320754717;71.0202025157233;50.3557320754717;60.0274842767296;12.0439572327044;8.38502641509434;12.0439572327044;9.68937861635221;2.33305198279618;54.9232731612608;2.33305198279618;2.8821889627996;36.3647798742138;40.5723270440252;36.3647798742138;32.188679245283;694.867924528302;576.251572327044;694.867924528302;407.238993710692;1290.56603773585;1081.1320754717;708.805031446541;;
62;50.5808932885906;70.3347369127517;50.5808932885906;60.2720093959732;12.9422979865772;8.54578523489933;12.9422979865772;9.50562281879195;2.30367895204369;52.2373198123805;2.30367895204369;2.73037665536133;37.3221476510067;45.0805369127517;37.3221476510067;33.2885906040268;586.496644295302;626.630872483221;586.496644295302;430.436241610738;1348.32214765101;1140.26845637584;599.328859060403;;
63;49.8279114754098;68.9878655737705;49.8279114754098;60.852137704918;11.9124065573771;8.50229426229508;11.9124065573771;9.06863360655738;2.32233340779741;47.2349264477032;2.32233340779741;2.82011487216578;37.844262295082;45.516393442623;37.844262295082;33.3524590163934;596.655737704918;627.909836065574;596.655737704918;419.549180327869;1368.03278688525;1050;592.622950819672;;
64;50.4311446280992;71.6148826446281;50.4311446280992;60.5522082644628;13.0997991735537;9.31624214876033;13.0997991735537;10.0025570247934;2.31929426169642;46.403356258461;2.31929426169642;2.70454175189881;36.5702479338843;42.7603305785124;36.5702479338843;32.3471074380165;679.413223140496;626.123966942149;679.413223140496;391.735537190083;1298.34710743802;1008.26446280992;653.719008264463;;
65;49.0744205607476;68.5346887850467;49.0744205607476;60.2703514018692;12.4816813084112;8.03155514018692;12.4816813084112;9.13444018691589;2.31701479982276;45.785924392619;2.31701479982276;2.90806801844893;42.0093457943925;50.588785046729;42.0093457943925;36.5794392523364;699.420560747664;672.738317757009;699.420560747664;456.261682242991;1353.27102803738;1120.56074766355;644.859813084112;;
66;49.4194175257732;67.6994463917526;49.4194175257732;58.2290288659794;12.7802865979381;8.75208350515465;12.7802865979381;9.42130515463918;2.37180039641524;56.3728072110322;2.37180039641524;3.67424695954027;40.8865979381443;51.8865979381443;40.8865979381443;37.0721649484536;686.618556701031;685.876288659794;686.618556701031;406.628865979381;1334.0206185567;981.443298969072;625.773195876289;;
67;50.8160670103093;68.4678628865979;50.8160670103093;61.6004567010309;13.2431432989691;7.80332268041237;13.2431432989691;9.85619690721649;2.37809319483744;53.8174483269197;2.37809319483744;3.07476164049925;40.639175257732;54.1855670103093;40.639175257732;36.7525773195876;1000.38144329897;700.309278350515;1000.38144329897;445.587628865979;1383.50515463918;1053.60824742268;918.556701030928;;
68;49.0696211111111;67.2006611111111;49.0696211111111;57.3100466666667;12.0432055555556;7.39265555555556;12.0432055555556;8.58694444444445;2.36775028364995;46.8623115233583;2.36775028364995;2.84859580835637;41.8;54.2222222222222;41.8;38.3333333333333;634.033333333333;665.766666666667;634.033333333333;435.122222222222;1281.11111111111;1016.66666666667;550;;
69;47.243155;65.397385;47.243155;60.36039625;12.5884525;7.871845;12.5884525;9.3419975;2.362855624761;71.7732234160817;2.362855624761;2.95240787418208;41.925;57.9625;41.925;37.5875;746.75;660.05;746.75;508.35;1262.5;1235;662.5;;
70;46.80958875;66.377065;46.80958875;57.6842125;10.84793125;6.56459125;10.84793125;8.54793375;2.42719727175457;60.0445619553925;2.42719727175457;2.95753289284179;45.275;57.275;45.275;40.325;981.625;772.375;981.625;460.8625;1462.5;1071.25;835;;
