n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa
81;36.3802164835165;31.8561813186813;29.1602538461538;21.5365472527473;32.1864120879121;12.3182582417582;27.4661395604396;9.04209230769231;180;24.464789010989;2.6555686013781;49.3981846258725;2.68071470780116;4.84140263753388;3.17895264726045;62.1208791208791;108.945054945055;80.3846153846154;75.0549450549451;62.7912087912088;11.4266868131868;27.1260923076923;7.90525274725275;15.041943956044;24.4105637362637;773.571428571429;1453.59340659341;543.098901098901;331.56043956044;972.274725274725;1252.74725274725;1045.05494505495;430.769230769231
82;36.3611056818182;28.6322454545455;27.7916056818182;21.3579977272727;30.3500988636364;12.2354261363636;23.8814659090909;8.98184659090909;180;23.672275;2.74981630063123;55.0615211289265;2.61442812953815;4.97872199084967;3.3491784307411;64.7613636363636;123.409090909091;87.25;73.8068181818182;65.6590909090909;11.3821215909091;23.5602409090909;7.54024090909091;15.2505375;23.4584988636364;882.340909090909;1224.26136363636;784.306818181818;370.579545454545;1001.30681818182;990.909090909091;994.318181818182;459.090909090909
83;34.9002162790698;28.9839023255814;28.5730441860465;20.8243151162791;30.2597465116279;12.4934534883721;24.9655709302326;9.04354534883721;180;23.5588744186046;2.69402084143427;46.7564228366903;2.72772830240381;4.97310649526122;3.44166416483779;66.3837209302326;121.732558139535;88.3837209302326;75.1511627906977;68.3372093023256;11.6396255813953;24.6477465116279;7.51629767441861;14.9537779069767;23.2040569767442;1019.46511627907;1430.63953488372;591.174418604651;323.837209302326;1053.39534883721;1160.46511627907;1065.11627906977;533.720930232558
84;34.2159;29.2306064102564;28.8888397435897;21.3903358974359;30.8792807692308;11.5722217948718;25.2634756410256;8.84467820512821;180;23.2583358974359;2.80667674817647;46.0835031490096;2.64179048340281;5.19666246153132;3.35625162835054;67.7948717948718;113.846153846154;90.9871794871795;76.6025641025641;68.7179487179487;10.6005128205128;24.7958346153846;7.36147435897436;14.3338102564103;23.2284320512821;754.782051282051;1361.39743589744;528.423076923077;334.628205128205;1066.96153846154;1102.5641025641;1051.28205128205;378.205128205128
85;35.6580424657534;28.8811164383562;29.1173712328767;20.3511931506849;31.1949;12.8470150684931;24.998695890411;8.97568493150685;180;23.5818123287671;2.69286541617902;52.531930379363;2.66188607923814;5.07362906670878;3.33243490855073;66.8356164383562;124.630136986301;88.3972602739726;77.7397260273973;67.4520547945206;12.3149630136986;24.5733465753425;7.90420410958904;13.8420054794521;23.3576191780822;878.027397260274;1370.05479452055;619.095890410959;292.397260273973;1013.53424657534;1130.13698630137;935.616438356164;456.164383561644
86;32.4582342857143;28.7314885714286;28.4768385714286;19.6733214285714;29.4368657142857;11.9938971428571;24.2041914285714;8.12260714285714;180;22.1359171428571;2.87612985632909;49.0682275675326;2.62480485673661;4.80621299720083;3.4135169406512;74.1;130.142857142857;102.185714285714;86.5428571428572;75.5285714285714;11.1409871428571;23.7440657142857;7.24348571428572;13.4000114285714;21.7605928571429;1006.95714285714;1305.42857142857;680.885714285714;379.685714285714;896.671428571429;1074.28571428571;804.285714285714;488.571428571429
87;35.0210073529412;29.5078779411765;28.0688411764706;21.2966720588235;29.0285558823529;11.8455529411765;25.7469102941176;8.54095735294118;180;22.0977558823529;2.76220882969066;53.5361599194168;2.77408159674971;5.00512927652505;3.42513858830589;75.3382352941177;133.279411764706;105.014705882353;84.6176470588235;77.1323529411765;11.0102794117647;25.3802058823529;7.3660705882353;14.8733617647059;21.6774764705882;765.073529411765;1582.29411764706;734.220588235294;364.75;946.941176470588;1225;848.529411764706;367.647058823529
88;35.1182405797101;28.4105492753623;27.9565304347826;19.0722724637681;31.0298072463768;12.4302173913044;23.0929304347826;8.5626;180;23.3826782608695;2.71891576937101;49.6216446950912;2.65733443843837;5.23716060216028;3.55973739982292;71.8840579710145;124.884057971015;94.1304347826087;83.0434782608696;74.0724637681159;11.5317434782609;22.6556637681159;6.9719;13.4054260869565;23.1565478260869;836.811594202899;1177.01449275362;612.782608695652;333.260869565217;1087.05797101449;915.942028985507;1001.44927536232;405.797101449275
89;34.6057467741935;28.1583532258064;28.3445387096774;21.1786983870968;31.4380951612903;12.5338370967742;23.5489048387097;8.77860645161291;180;23.9244612903226;2.74786757320382;52.3328365376525;2.80376682467614;4.98986451490577;3.81777124340381;69.4354838709677;124.870967741936;93.4193548387097;79.0161290322581;69.3387096774194;11.7190435483871;23.1704693548387;7.42771935483871;14.2955725806452;23.7639838709677;822.112903225806;1327.56451612903;659.016129032258;326.209677419355;942.064516129032;1038.70967741936;891.935483870968;400
90;34.4828728813559;27.3417525423729;27.7002593220339;20.5949271186441;29.1235881355932;11.9190254237288;23.5960033898305;8.03460508474576;180;21.9947847457627;2.87938537016116;47.2479581902139;2.94731664582953;5.09985510358441;3.46116484465386;75.7118644067797;145.559322033898;106;89.2203389830508;77.5254237288136;11.2628288135593;23.0095762711864;6.42358983050848;13.6288118644068;21.9031677966102;1275.5593220339;1383.71186440678;561.64406779661;344.084745762712;1024.74576271186;1047.45762711864;988.135593220339;601.694915254237
91;33.7692818965517;28.7089818965517;28.9488956896552;21.0418896551724;30.7648706896552;12.262224137931;25.0309913793103;8.32082844827586;180;23.4621810344828;2.82924234712554;53.8687445517915;2.72427156375272;5.12890178828055;3.35537550987206;73.9137931034483;135.043103448276;103.396551724138;85.7931034482759;75.4224137931034;11.267074137931;24.5822163793103;7.29305603448276;14.2401137931035;23.2699655172414;838.801724137931;1435.16379310345;695.284482758621;344.870689655172;1009.29310344828;1118.10344827586;928.448275862069;370.689655172414
