Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Mixed
66;23.3257142857143;14.0608163265306;7.38877551020408;12.1923469387755;23.3007216494845
67;23.4775247524753;15.229801980198;7.86435643564356;11.6721782178218;22.8759793814433
68;22.0716483516484;13.4434065934066;6.9567032967033;11.1245054945055;21.9318888888889
69;24.2553571428571;14.2297619047619;7.22202380952381;11.5232142857143;23.64275
70;22.5016049382716;13.012;6.36283950617284;9.91222222222222;22.380875
71;23.3589010989011;15.0607692307692;6.82802197802198;11.265;22.9431460674157
72;22.2224175824176;14.3498888888889;7.15184782608696;10.9913043478261;22.0149438202247
73;23.4478571428571;13.4885714285714;7.12858823529412;11.5504705882353;23.4478571428571
74;22.8249056603774;13.1621904761905;7.78575471698113;10.9265714285714;22.8249056603774
75;23.0560185185185;13.625462962963;6.70305555555556;11.0011111111111;22.9823364485981
76;21.2932432432433;11.9711711711712;5.38741071428572;9.93603603603603;21.2932432432433
77;21.9723333333333;12.7790833333333;6.50525;10.8003389830508;21.8672268907563
78;21.526;11.6603333333333;6.07066666666666;9.73863247863248;21.526
79;21.1141935483871;10.4135483870968;5.4105376344086;9.36434782608696;21.1141935483871
80;20.7814705882353;11.1611764705882;5.0243137254902;8.45386138613861;20.7814705882353
81;20.7751685393258;11.3691111111111;5.04164835164835;8.53637362637362;20.7751685393258
82;19.6059770114943;11.0831395348837;4.60511363636364;8.73609195402299;19.6059770114943
83;20.2393023255814;10.5382558139535;5.01081395348837;8.86023255813953;20.2393023255814
84;20.239358974359;10.4384615384615;5.39102564102564;7.68243589743589;20.239358974359
85;20.1128767123288;11.3042465753425;5.2713698630137;8.49657534246575;20.1128767123288
86;17.971;11.3273913043478;4.90442857142857;9.03463768115942;17.971
87;20.3425;11.8168656716418;4.81632352941177;7.75735294117647;20.3425
88;20.5679710144928;11.6613043478261;4.48521739130435;8.46;20.5679710144928
89;19.7931746031746;10.0606349206349;5.33603174603175;8.56380952380952;19.7585483870968
90;19.5427586206897;9.7096551724138;4.65101694915254;7.48810344827586;19.5427586206897
91;20.336347826087;11.3558260869565;4.57103448275862;8.80114035087719;20.336347826087
92;19.1993277310924;10.0121008403361;4.1963025210084;8.02193277310924;19.1993277310924
93;19.9963432835821;10.3361194029851;4.57835820895522;7.70761194029851;19.9963432835821
94;18.6952317880795;10.128947368421;4.02636363636364;8.280522875817;18.6952317880795
95;18.0865217391304;9.71702898550725;4.34035971223021;7.68802919708029;18.0865217391304
96;19.0261486486486;10.5925342465753;4.13087837837838;7.31353741496598;19.0261486486486
97;18.3657971014493;9.2863768115942;3.60287769784173;7.2863309352518;18.3657971014493
98;18.423006993007;8.89090909090909;3.70993006993007;7.09272727272727;18.423006993007
99;18.1347222222222;8.63340277777778;3.30965277777778;7.01027777777778;18.1347222222222
100;18.4770714285714;9.19685714285715;3.7763829787234;7.07392857142857;18.4770714285714
