n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa
42;47.7053821052631;49.3209205263158;43.6878716666667;41.7268847368421;45.0548268421053;21.115502631579;38.361042631579;13.38615;180;27.8972431578947;2.25496480819338;30.8210045178328;2.46343860135676;4.86184034260887;2.43840162342953;17.3578947368421;23.5736842105263;21.6333333333333;21.4578947368421;17.8526315789474;20.5060368421053;38.2314384210526;12.97901;28.5918315789474;26.4923094736842;294.842105263158;801.468421052632;149.652631578947;247.978947368421;243.1;1206.31578947368;631.578947368421;536.315789473684
43;47.8910398058252;48.7472776699029;47.4915809523809;41.6180830097088;45.3531873786408;22.6574883495146;38.0942844660194;15.3646444444444;180;28.6703689320389;2.25217164967322;29.7962066957932;2.40200861402329;4.83057249204666;2.51004035138759;17.7572815533981;27.495145631068;20.952380952381;22.7621359223301;19.131067961165;21.9269266990291;37.8720495145631;13.7605058252427;27.2794932038835;27.455468446602;408.364077669903;792.936893203884;163.728155339806;235.868932038835;249.902912621359;1186.8932038835;658.252427184466;700
44;47.236798816568;48.1936739644971;46.6837;41.2015585798816;45.6444982248521;21.9510343195266;38.0095650887574;15.6219205128205;180;28.0348662721893;2.24569667649212;31.4192088828237;2.23265719787347;4.97175018515713;2.45295107025566;18.2366863905325;27.8461538461538;18.0512820512821;22.3609467455621;18.9289940828402;20.9496822485207;37.9377065088757;13.5467426035503;27.6147532544379;26.6757207100592;346.272189349112;847.278106508876;213.497041420118;257.89349112426;231.538461538462;1192.89940828402;591.12426035503;569.230769230769
45;45.2919354166667;46.1523145833333;39.443348;39.0058020833333;42.8852166666667;20.7178701388889;36.16778125;15.02502;180;28.0951708333333;2.34287922992288;26.2941682227674;2.2570294362954;4.83141985248496;2.56203171494914;20.4027777777778;30.0069444444444;23.48;24.7152777777778;21.1597222222222;20.0427680555556;36.0758527777778;12.7074381944444;26.8018666666667;25.9320486111111;274.916666666667;760.576388888889;225.694444444444;260.756944444444;249.840277777778;1067.36111111111;602.083333333333;442.361111111111
46;43.5099139534884;46.3766255813954;45.880816;37.6361108527132;42.2428759689923;19.9198069767442;36.463780620155;13.833568;180;26.9616170542636;2.34526120805748;30.6754644474632;2.28398663086256;4.95356744010002;2.63168348642292;20.968992248062;31;21.8;25.8527131782946;21.8759689922481;19.0051488372093;36.3768286821705;12.1271069767442;25.3260930232558;25.1991837209302;325.759689922481;868.372093023256;216.062015503876;245.007751937984;246.31007751938;1207.7519379845;540.31007751938;510.077519379845
47;44.3623183486239;46.0912605504587;42.3524214285714;37.9938706422018;41.2420981651376;19.9695669724771;37.3599605504587;16.5245428571429;180;26.1815293577982;2.27526326900274;28.576611995788;2.24050090264799;4.73961163053569;2.72776660436014;22.5229357798165;31.4862385321101;23.8928571428571;28.1651376146789;23.1559633027523;19.0142513761468;37.2541587155963;12.9537293577982;25.3475733944954;24.5391733944954;366.550458715596;863.467889908257;200.284403669725;256.009174311927;222.256880733945;1181.65137614679;527.522935779817;542.201834862385
48;44.8408569620253;48.0554696202532;48.7254846153846;38.9435911392405;41.5907215189874;22.5630721518987;39.3672632911392;16.3094807692308;180;27.7724974683544;2.25959266429546;32.2752674188251;2.20592531822744;4.82501120154339;2.55163968558418;21.2405063291139;31;22.7692307692308;25.506329113924;22.1772151898734;21.6440139240506;39.2721050632911;13.4103987341772;27.9501873417722;26.1358481012658;293.696202531646;915.177215189874;214.291139240506;286.177215189873;277.06329113924;1344.30379746835;653.164556962025;420.253164556962
49;44.1395823529412;47.2866141176471;42.4773257142857;40.0071270588235;41.9777670588235;22.4877494117647;39.0746835294118;13.9981028571429;180;27.5578552941176;2.24143337776486;30.3837294937113;2.29806591920924;4.69527353125294;2.53242277974166;20.0588235294118;30.1058823529412;22.7714285714286;26.0352941176471;20.8235294117647;21.5668988235294;38.9375929411765;12.4125352941177;27.2784882352941;24.5713494117647;300.964705882353;906.788235294118;180.011764705882;279.458823529412;246.364705882353;1235.29411764706;540;422.352941176471
50;43.0900836734694;43.7759387755102;37.59566;35.9956897959184;40.7787632653061;20.1662408163265;35.0709755102041;15.131484;180;26.2296979591837;2.2561542847117;39.2742869250683;2.41774481644693;4.91819949601068;2.56251638909351;21.8163265306122;31.4081632653061;26.24;27.0612244897959;23.9387755102041;19.0404387755102;34.686887755102;12.3986530612245;25.3486693877551;24.6016040816326;459.857142857143;955.65306122449;173.510204081633;239.34693877551;251.142857142857;1306.12244897959;500;614.285714285714
51;41.5462471428571;44.6528928571429;38.907452173913;36.7978128571429;39.4692185714286;20.9497185714286;37.2830457142857;13.9047608695652;180;25.8509285714286;2.33047790453997;40.9438582905807;2.39992211229386;4.71905820045753;2.69478745000219;22.5857142857143;32.0285714285714;24.6304347826087;28.6142857142857;22.8714285714286;20.2504214285714;37.2449557142857;12.3746928571429;24.8769342857143;23.8751128571428;335.885714285714;979.314285714286;210.585714285714;261.057142857143;266.285714285714;1258.57142857143;567.142857142857;451.428571428571
