Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only Old;Crossing Only Old;Mixed;Angular Only;Crossing Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
21;932.490196078431;1281.76470588235;1328.76470588235;1354.87254901961;901.058823529412;2366.75490196078;1069.69565217391;1048.17391304348;2707.65217391304;1251.50805789349;3959.16023180653;1456.14411601955;770.034040107904;1818.20795315138;278.139872935574;877.404264642859;1947.09991681677;192.291387531054;Nodes;=21
22;800.317073170732;1464.56097560976;1207.15662650602;1165.4512195122;855.353658536586;1844.79518072289;961.470588235294;1148.05882352941;2719.64705882353;1412.59924169846;4132.24630052199;1307.04781712507;684.626218329045;1832.68504185846;463.432605200367;813.851059130654;1775.32164736595;147.61952910464;Nodes;=22
23;793.133333333333;1281.29333333333;1116.98684210526;1182.22368421053;886.92;1923.25;1087.92857142857;1442.57142857143;2742.57142857143;1673.07035643526;4415.64178500669;1069.50107213617;1178.21453670607;2620.7859652775;264.356891865361;1205.19435726173;2293.1229286903;0;Nodes;=23
24;723.452054794521;1138.31506849315;1028.06849315069;1094.65753424658;861.356164383562;2063.58904109589;1577.88888888889;844.444444444444;3951.44444444444;1610.3346788099;5561.77912325434;2341.10976563455;404.88273336582;1249.32717781026;439.561711078624;720.500099399488;2298.38898828838;857.388789489401;Nodes;=24
25;668.571428571429;989.166666666667;1055.52325581395;1094.41860465116;838.819277108434;1831.61627906977;1211.54545454545;916.545454545454;2400.45454545455;2293.60673889995;4694.0612843545;106.847806554594;549.294158650238;1465.83961319569;367.251295895217;842.50255842811;2054.04801297356;369.042896117345;Nodes;=25
26;889.219512195122;1252.96341463415;1145.49397590361;1192.71604938272;1012.37804878049;1948.55421686747;987.222222222222;1395.38888888889;2972.22222222222;1875.98625216195;4848.20847438418;1096.23597006027;1300.52175678428;2695.91064567317;94.8671321046047;1187.92473721597;2175.1469594382;0;Nodes;=26
27;1042.8152173913;1599;1404.94623655914;1209.35483870968;1102.10869565217;2446.05376344086;1158.41176470588;1300.05882352941;3564.29411764706;2085.59520175614;5649.8893194032;1478.69891589092;1192.91279388878;2492.97161741819;107.146029640634;1186.92705428856;2345.33881899444;0;Nodes;=27
28;1175.5625;1767.3;1423.69135802469;1402.53086419753;1365.775;2261.93827160494;1177.66666666667;1391.66666666667;2606.28571428571;2194.10519446894;4800.39090875466;412.18051981677;1285.02955311578;2676.69621978245;106.637113550883;1271.0463196148;2448.71298628147;0;Nodes;=28
29;1350.75362318841;1604.71014492754;1539.47826086957;1516.14705882353;1452.02898550725;2342.30434782609;1570.90476190476;1859.04761904762;2524.57142857143;1821.79144172511;4346.36287029654;702.779986846318;1312.14391269367;3171.19153174129;546.903706353951;1451.01411906223;3021.91888096699;119.890642842529;Nodes;=29
30;1262.61290322581;1883.58064516129;1492.14516129032;1525.20967741935;1538.91935483871;2486.72580645161;1432.26315789474;1603.94736842105;2454.15789473684;2189.80613711092;4643.96403184776;264.351757625921;1255.66677611203;2859.61414453308;348.280592309023;1346.79217845636;2779.05533635109;85.4709794383803;Nodes;=30
