Nodes;Mixed;Angular Only Old;Lin Yen ;Eades;Huang et al.;Angular Only;sd ar;ar_up;ar_down;a;b
91;20.6461739130435;23.3755652173913;21.1509565217391;4.69077586206896;9.21973684210526;23.3755652173913;7.28315506522021;30.6587202826115;16.0924101521711;Nodes;=91
92;19.3980672268908;21.5789915966387;19.9299159663866;4.37991596638655;8.29991596638655;21.5789915966387;6.11975384391384;27.6987454405525;15.4592377527248;Nodes;=92
93;20.180895522388;22.8514179104478;20.449328358209;4.68522388059702;8.35985074626866;22.8514179104478;6.17266276768678;29.0240806781345;16.678755142761;Nodes;=93
94;19.0358940397351;21.7469078947368;20.3825657894737;4.1351948051948;8.59555555555556;21.7469078947368;5.98330837558021;27.730216270317;15.7635995191566;Nodes;=94
95;18.3784782608696;21.0967391304348;18.995652173913;4.46410071942446;7.97379562043796;21.0967391304348;6.29820437428077;27.3949435047156;14.798534756154;Nodes;=95
96;19.2226351351351;21.7824324324324;19.5635616438356;4.30168918918919;7.52877551020408;21.7824324324324;6.59730625523293;28.3797386876654;15.1851261771995;Nodes;=96
97;18.5334057971014;20.7075362318841;19.5240579710145;3.82697841726619;7.7868345323741;20.7075362318841;6.04335405152704;26.7508902834111;14.664182180357;Nodes;=97
98;18.5295804195804;20.8955944055944;19.0089510489511;3.89251748251748;7.46468531468531;20.8955944055944;6.10628441257795;27.0018788181724;14.7893099930165;Nodes;=98
99;18.6704861111111;20.8189583333333;19.1499305555555;3.50604166666667;7.45465277777778;20.8189583333333;6.3805794417308;27.1995377750641;14.4383788916025;Nodes;=99
100;18.6521428571429;21.3281428571429;19.4575;3.99148936170213;7.56507142857143;21.3281428571429;5.8090399144477;27.1371827715906;15.5191029426952;Nodes;=100
