Nodes;Mixed OLD;Lin Yen ;Eades;Huang et al.;Crossing Only OLD;Angular Only OLD;Mixed;Crossing Only;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
21;2.75490196078431;2.81372549019608;2.85294117647059;2.69607843137255;3.80392156862745;2.79411764705882;7.34782608695652;10.9565217391304;7.56521739130435;13.8086871894917;24.7652089286222;0;6.6045857825971;14.1698031739015;0.960631608707245;3.98479152465996;11.3326176116165;3.36303456229656;Nodes;=21
22;2.41463414634146;2.46341463414634;2.39759036144578;2.30487804878049;3.49397590361446;2.4390243902439;6.88235294117647;9.52941176470588;6.94117647058824;6.72790501436762;16.2573167790735;2.80150675033826;4.93039790781756;11.8715743784058;2.01077856277068;3.91647773059003;10.7988306717665;2.96587521058644;Nodes;=22
23;2.37333333333333;2.48;2.35526315789474;2.26315789473684;5.38157894736842;2.41333333333333;6.78571428571429;20.9285714285714;6.92857142857143;29.4290915349324;50.3576629635038;0;4.35826863496337;11.2868400635348;2.57030279360806;3.33541601603158;10.1211303017459;3.4502982696827;Nodes;=23
24;1.94520547945205;2.04109589041096;2.02739726027397;1.84931506849315;2.91780821917808;1.98630136986301;7.88888888888889;13.5555555555556;8;8.14111649454654;21.6966720501021;5.41443906100901;3.87298334620742;11.8729833462074;4.12701665379258;3.23588167777472;11.1247705666636;4.65300721111417;Nodes;=24
25;2.16666666666667;2.13095238095238;2.16279069767442;2.12790697674419;3.84883720930233;2.2289156626506;8.81818181818182;19.5454545454545;8.90909090909091;21.1204338798408;40.6658884252954;0;4.70009671080384;13.6091876198948;4.20899419828707;3.71206013163847;12.5302419498203;5.10612168654334;Nodes;=25
26;2.40243902439024;2.65853658536585;2.4578313253012;2.32098765432099;3.60240963855422;2.52439024390244;7.22222222222222;10.8888888888889;7.66666666666667;8.00653327997821;18.8954221688671;2.88235560891068;4.2840332837725;11.9506999504392;3.38263338289417;3.794677478656;11.0168997008782;3.42754474356623;Nodes;=26
27;2.35869565217391;2.34408602150538;2.18279569892473;2.06451612903226;3.73118279569892;2.39130434782609;6.23529411764706;11.1764705882353;6.41176470588235;7.86793567365074;19.044406261886;3.30853491458456;2.85172806227671;9.26349276815906;3.56003664360564;2.90595425561839;9.14124837326544;3.32933986202867;Nodes;=27
28;3.3375;3.2125;2.97530864197531;2.95061728395062;4.90123456790123;3.3875;8.6;16.5714285714286;8.33333333333333;23.6341157772282;40.2055443486568;0;5.40722620556004;13.7405595388934;2.92610712777329;3.7440752593279;12.3440752593279;4.8559247406721;Nodes;=28
29;3.79710144927536;3.81159420289855;3.56521739130435;3.38235294117647;7.89855072463768;3.82608695652174;8.23809523809524;18.7142857142857;8.14285714285714;23.8854408733497;42.5997265876354;0;3.82473154987006;11.9675886927272;4.31812559298708;4.28802745877163;12.5261226968669;3.95006777932361;Nodes;=29
30;4.40322580645161;4.25806451612903;3.58064516129032;3.48387096774194;8.75806451612903;4.32258064516129;10.1052631578947;22.3157894736842;9.73684210526316;26.7312813667578;49.047070840442;0;8.10241462818446;17.8392567334476;1.6344274770787;7.59645295917612;17.7017161170709;2.50881019871862;Nodes;=30
31;4.31764705882353;4.62352941176471;4.16470588235294;4.03529411764706;7.21176470588235;4.36470588235294;10.047619047619;18.1428571428571;9.76190476190476;16.356300664532;34.4991578073892;1.7865564783251;5.94898951003245;15.7108942719372;3.81291525187231;5.7660331292092;15.8136521768283;4.28158591840985;Nodes;=31
32;3.95348837209302;4.0390625;3.68217054263566;3.55038759689922;7.45736434108527;4.17054263565892;7.52380952380952;16.5952380952381;8.02380952380952;28.6765473342782;45.2717854295163;0;7.02083344103365;15.0446429648432;1.00297608277588;5.74090263717667;13.2647121609862;1.78290688663285;Nodes;=32
33;4.62804878048781;4.71341463414634;4.04819277108434;3.95180722891566;8.13855421686747;4.68292682926829;9.86792452830189;18.6923076923077;9.79245283018868;26.1177863380032;44.8100940303109;0;8.20731027467877;17.9997631048674;1.58514255550991;5.87540669061034;15.7433312189122;3.99251783769155;Nodes;=33
34;4.0855614973262;4.18716577540107;3.72872340425532;3.54787234042553;6.68085106382979;4.17647058823529;7.85483870967742;13.4838709677419;8.11290322580645;10.9943978811922;24.4782688489341;2.48947308654976;4.45415568974795;12.5670589155544;3.6587475360585;4.34743359821361;12.202272307891;3.50740511146381;Nodes;=34
