n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd angular resolution fa;sd angular resolution rm;sd angular resolution rm-1;tr_up fa;tr_down fa;tr_up rm;tr_down rm;tr_up rm-1;tr_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
74;40.9371584905661;34.689;31.8536981132076;26.24615;35.2397801886792;14.9391990566038;29.3793358490566;10.6262839622642;180;25.8367358490566;2.55312005182155;45.6195581666645;2.46325811195773;5.10656438440736;3.04336657328385;45.2547169811321;80.2735849056604;60.0377358490566;52.0754716981132;45.2641509433962;14.1500462264151;29.0648018867924;9.61984528301887;18.6767716981132;25.4521603773585;640.603773584906;1330.16981132075;497.11320754717;305.792452830189;830.122641509434;1227.35849056604;951.88679245283;407.547169811321;7.05217578006856;11.4443602287472;9.1811416380865;21.9913748366723;7.88702327653521;40.8236960778038;17.9349756203094;35.0178774871431;16.6555942109701;0.603702773385429;51.456304776572;0.844858961443086;3.15682282520698;1.94941727843612;97.0758629432364;1;3.88822553472694;2.19850761184077;22.0898862101252;52.8106289840665;21.9945022943689;67.3446031912573;23.1648307710069;133.084213889727;27.4629559215939;67.2586532377651;23.2696486490273;405.837901773261;832.269761540597;591.403678439286;813.385071584582;1.70926803805958;2059.62825210664;395.088729025441;1543.29047089212;360.483114013544;n;=74
75;38.340176635514;33.6748943925234;30.1418018691589;23.9931635514019;34.3139056074766;14.1462289719626;28.6227140186916;9.82094018691588;180;24.983291588785;2.59893792450032;47.5338527119636;2.69837536894551;4.91767566306956;3.09112251937165;51.2242990654206;90.4672897196262;69.4859813084112;59.803738317757;51.4766355140187;13.2816140186916;28.3516841121495;8.25732897196262;17.1278663551402;24.5247953271028;630.504672897196;1137.18691588785;397.420560747664;323.03738317757;820.710280373832;1076.63551401869;970.093457943925;401.869158878505;6.16651771380031;9.75955648267475;9.30230204353358;20.3127466857629;7.97971125816231;38.3822705013663;18.8631575360168;34.2855936323186;15.6809895452515;0.574632402042707;55.0942627170824;1.09362544736423;3.17357032654303;2.02430552245761;102.628115429046;1;4.18474796673588;1.99749707200742;29.4539321817363;65.0666302552527;31.5547878717327;80.6782312471568;21.7703668836843;155.533919974879;25.4006594643735;83.0314233857514;19.921847642286;440.62162529926;686.332808764985;655.055082412566;842.490784177765;0;1762.96832278368;390.302705253707;1625.14854035649;315.038375531359;n;=75
76;38.1652044642857;31.6934428571429;31.1234625;23.6103616071429;33.3161241071429;14.2520357142857;26.6298669642857;9.90869553571428;180;23.8177723214286;2.63479994022882;39.6800384965782;2.56522255073896;4.85271242460687;3.11482317383152;53.4375;95.1339285714286;70.9910714285714;63.7589285714286;54.5178571428571;13.4732116071429;26.3972696428571;8.30697678571429;16.6896776785714;23.5109258928571;790.321428571429;1213.1875;554.178571428571;326.241071428571;848.642857142857;1089.28571428571;931.25;484.821428571429;5.36562323117018;9.41697740655921;9.05513330669053;19.6176589454559;8.88641248311554;36.0468443708449;17.2128895577265;32.8729056281191;14.762639014738;0.601399358759108;37.7735423753386;0.836949406057996;3.23619929898793;2.03340058146971;77.4535808719168;1.90649612123953;3.95177257988952;2.27787376777353;24.4097090600522;56.1117764029437;25.2889543038302;77.8472090600522;29.0277909399478;151.245704974372;39.0221521684848;79.8068114466873;29.228902839027;411.591028852883;701.138988786019;573.91201416245;896.412457424312;73.2303997185451;1790.42470307173;388.146725499695;1505.16201416245;357.33798583755;n;=76
77;38.4256058823529;33.857712605042;30.8077781512605;24.0818403361345;34.0369487394958;14.4482865546218;29.1594327731092;10.3546411764706;180;25.7760243697479;2.54877338562727;46.0125696606031;2.65551761067276;5.08260048239585;3.08759852415893;49.7142857142857;82.5294117647059;63.1764705882353;57.6890756302521;50.3109243697479;13.7190655462185;28.9517655462185;8.91798487394958;16.5056478991597;25.6402058823529;843.739495798319;1415.3025210084;397.403361344538;284.932773109244;890.478991596639;1253.78151260504;1008.40336134454;506.72268907563;6.43809111760222;9.28933628661579;7.76040436399816;20.8863776722241;8.01019543701963;38.448769059725;19.8700964864935;33.5364287337461;18.0156200057497;0.490307970747482;54.1856171405262;0.789117783463439;3.03908135637475;2.05846541487978;100.198186801129;1;3.87671630762237;2.29848074069549;24.2316304204428;44.4649592622485;25.2622676690428;73.9459161347285;25.4826552938429;126.994371026954;38.0644525024574;75.5731920387907;25.0486567007051;1153.53040209118;793.809727870665;679.678367596348;1660.25309116681;0;2047.59124047571;459.971784734377;1688.08172894089;328.72499374819;n;=77
78;38.1474691666667;32.8728116666667;31.1194825;22.5415675;34.1605;14.72987;28.1602441666667;9.63876;180;25.8262241666667;2.62042074401447;37.4395508447983;2.52389882562433;5.1265596296282;3.09199061277217;53.975;90.825;69.0916666666667;63.6083333333333;54.1333333333333;13.7083241666667;27.7909041666667;8.12609416666667;15.3309983333333;25.7068658333333;674.958333333333;1316.80833333333;479.775;322.091666666667;1017.18333333333;1150;1095;394.166666666667;5.92050254562671;10.0811653973706;8.53054285715337;20.6503725456267;8.80936745437328;38.2414095640373;18.0790787692961;34.35676702382;17.2956813095133;0.621984631293156;23.7357589239432;0.71729523642522;3.24240537530763;1.99843611272131;61.1753097687415;13.7037919208552;3.80928584919739;2.37469537634695;27.3162193638896;53.7469424574963;27.6948963333168;81.2912193638896;26.6587806361104;144.571942457496;37.0780575425037;81.8282296666501;26.4384370000165;346.966647304517;684.645525654203;678.462176078923;741.133313971183;47.2000193621502;1834.6455256542;465.354474345797;1773.46217607892;416.537823921077;n;=78
79;36.7305010752688;32.0181494623656;29.3588483870968;22.6104956989247;32.4754010752688;13.2922032258065;26.789588172043;9.12008817204301;180;24.2218591397849;2.66041171575395;49.1213244640087;2.61242603056771;4.83188159532794;3.06416654427298;59.5268817204301;106.354838709677;82.6881720430108;70.9462365591398;60.6344086021505;12.368952688172;26.5364419354839;7.86594408602151;15.4394612903226;23.9839827956989;708.161290322581;1410.40860215054;564.763440860215;347.505376344086;889.096774193548;1188.17204301075;981.720430107527;396.774193548387;5.62184423576601;9.94630472351987;8.415479070331;18.9140474615725;7.67035899004045;36.7358928955629;16.8432834485232;32.6373382101159;15.8063800694539;0.589993495367386;49.1656564686337;0.730860036256085;3.25040521112134;2.07041822038656;98.2869809326425;1;3.79502658052906;2.33330650801689;30.1314480372719;69.0569464379392;32.7552800079078;89.658329757702;29.3954336831582;175.411785147617;37.2978922717383;93.3896886100584;27.8791285942427;409.785631366711;683.795269126276;596.720427685532;806.559824915099;0;1871.96731213703;504.376773884477;1578.44085779306;385.000002421995;n;=79
80;35.4107588235294;30.2043862745098;28.0424911764706;21.2535039215686;30.8276196078432;12.0662666666667;25.358337254902;9.1546205882353;180;23.1106696078431;2.71955418776147;50.7260794138776;2.79193996381358;4.86600040218637;3.27111533172912;64.6470588235294;112.725490196078;82.343137254902;73.3921568627451;65.0980392156863;11.2359362745098;25.1325431372549;7.51574607843137;14.3449892156863;22.8828803921569;816.647058823529;1240.57843137255;487.156862745098;307.254901960784;864.911764705882;1037.25490196078;877.450980392157;450.980392156863;4.97171068900894;9.15005480885505;8.63948143959788;17.0379773556756;7.09455597765773;34.508392063757;16.2082824460469;31.750151047441;14.4711881682453;0.551668374427804;44.9699979965421;0.858205736005328;3.27122256218928;2.16788581333367;95.6960774104197;5.75608141733547;4.12932106773445;2.41290959572379;29.6710169810469;68.4390538822096;30.7826972756255;94.3180758045763;34.9760418424825;181.164544078288;44.2864363138689;95.8807364913118;34.3153419400607;534.316459431718;679.388421634473;575.215304115023;985.296851588581;0;1716.64332359526;357.866480326311;1452.66628450718;302.235676277134;n;=80
81;36.3802164835165;31.8561813186813;29.1602538461538;21.5365472527473;32.1864120879121;12.3182582417582;27.4661395604396;9.04209230769231;180;24.464789010989;2.65556860137811;49.3981846258725;2.68071470780116;4.84140263753388;3.17895264726045;62.1208791208791;108.945054945055;80.3846153846154;75.0549450549451;62.7912087912088;11.4266868131868;27.1260923076923;7.90525274725275;15.041943956044;24.4105637362637;773.571428571429;1453.59340659341;543.098901098901;331.56043956044;972.274725274725;1252.74725274725;1045.05494505495;430.769230769231;5.3375830179796;9.55982690628085;7.78054487063037;17.6558412597378;6.98067522377865;37.0259664667204;17.9063126541587;32.2453338816194;16.6842441403586;0.608360638082782;47.3989182490526;0.868519543861549;3.26392923946089;2.04720796329532;96.7971028749252;1.99926637681986;4.047472191122;2.3104331033989;30.9202684927379;68.6220506571017;30.3591525586296;93.0411476136171;31.2006106281412;177.567105602157;40.3230042879532;93.1503613498384;32.4320562325792;392.624306626381;823.183611128925;638.098518388594;823.393537395612;38.14492414285;2075.93086387618;429.563641618328;1683.15346344354;406.956426666351;n;=81
82;36.3611056818182;28.6322454545455;27.7916056818182;21.3579977272727;30.3500988636364;12.2354261363636;23.8814659090909;8.98184659090909;180;23.672275;2.74981630063124;55.0615211289265;2.61442812953815;4.97872199084967;3.3491784307411;64.7613636363636;123.409090909091;87.25;73.8068181818182;65.6590909090909;11.3821215909091;23.5602409090909;7.54024090909091;15.2505375;23.4584988636364;882.340909090909;1224.26136363636;784.306818181818;370.579545454545;1001.30681818182;990.909090909091;994.318181818182;459.090909090909;5.09365755433096;9.20254752289717;6.99114691111246;17.3290836906946;7.14176858203268;33.0840134319881;14.6789183861937;30.6634219111125;16.6811280888875;0.659462047518863;68.4864855022417;0.82208346436912;3.4092783481501;2.09035425311237;123.548006631168;1;4.17126189511022;2.52709496637198;28.244822256938;75.0883979227972;28.0680152419765;93.0061858933016;36.5165413794257;198.497488831888;48.3206929862937;93.7271061510674;37.5910756671144;438.292497631004;725.185091495888;556.33405051064;897.383406721913;20.798411459905;1716.09418240498;265.723999413203;1550.65223232882;437.984131307541;n;=82
83;34.9002162790698;28.9839023255814;28.5730441860465;20.8243151162791;30.2597465116279;12.4934534883721;24.9655709302326;9.04354534883721;180;23.5588744186046;2.69402084143427;46.7564228366903;2.72772830240381;4.97310649526122;3.44166416483779;66.3837209302326;121.732558139535;88.3837209302326;75.1511627906977;68.3372093023256;11.6396255813953;24.6477465116279;7.51629767441861;14.9537779069767;23.2040569767442;1019.46511627907;1430.63953488372;591.174418604651;323.837209302326;1053.39534883721;1160.46511627907;1065.11627906977;533.720930232558;4.81360765082114;9.09943096833303;8.49979757578401;17.3070611391932;7.67984583755096;34.0650018985656;15.8661399618995;32.0586719943887;15.0590768428206;0.494527827188713;43.7509415063107;0.900259423278783;3.18854866862299;2.19949301424556;90.5073643430011;3.0054813303796;4.34192358811658;2.54140474155901;25.5698207243255;62.5629893257902;27.6824898850885;91.953541654558;40.8139002059071;184.295547465325;59.1695688137447;96.0196991874141;40.654719417237;901.320660458051;754.481367604878;659.191562242626;1435.04159069061;0;1914.94648388395;405.983748674191;1724.30784131239;405.924716827141;n;=83
84;34.2159;29.2306064102564;28.8888397435897;21.3903358974359;30.8792807692308;11.5722217948718;25.2634756410256;8.84467820512821;180;23.2583358974359;2.80667674817647;46.0835031490096;2.64179048340281;5.19666246153132;3.35625162835054;67.7948717948718;113.846153846154;90.9871794871795;76.6025641025641;68.7179487179487;10.6005128205128;24.7958346153846;7.36147435897436;14.3338102564103;23.2284320512821;754.782051282051;1361.39743589744;528.423076923077;334.628205128205;1066.96153846154;1102.5641025641;1051.28205128205;378.205128205128;5.26990130145776;9.86828391675945;6.63964154028701;16.8421230963296;6.30232049341403;35.1317595577851;15.3951917242662;29.8979774377229;16.6186943571489;0.590965107080019;43.6254507111801;0.757265595588658;3.39764185525649;2.21571164109646;89.7089538601897;2.45805243782957;4.11351722393919;2.59898603276188;28.831511879471;57.2545187743284;30.4144093652383;96.6263836743428;38.9633599154008;171.100672620482;56.5916350718255;99.132358083187;38.3035393527104;407.923928449817;718.037433270547;604.688089553355;786.129056654945;0;1820.60153583465;384.526669293555;1655.97014083541;446.593961728697;n;=84
85;35.6580424657534;28.8811164383562;29.1173712328767;20.3511931506849;31.1949;12.8470150684931;24.998695890411;8.97568493150685;180;23.5818123287671;2.69286541617902;52.531930379363;2.66188607923814;5.07362906670878;3.33243490855073;66.8356164383562;124.630136986301;88.3972602739726;77.7397260273973;67.4520547945206;12.3149630136986;24.5733465753425;7.90420410958904;13.8420054794521;23.3576191780822;878.027397260274;1370.05479452055;619.095890410959;292.397260273973;1013.53424657534;1130.13698630137;935.616438356164;456.164383561644;5.63042711231442;11.4135191293298;8.08199779689846;18.4774421808076;7.21658795617873;36.4122150197408;13.5851767610811;31.6638101256656;15.4998145318687;0.605902178545857;48.6071886846405;0.882760859071464;3.29876759472488;2.08696323763316;101.139119064003;3.92474169472258;4.2151957676222;2.44967404947927;28.2665947810751;76.6277993596527;28.0995458128035;95.1022112194313;38.569021657281;201.257936345954;48.0023376266486;95.5516006073241;39.352508981717;443.153566739399;774.89872662799;550.345816286274;899.317950301043;13.0108168222451;1905.03571292936;355.23825967338;1485.96225464244;385.27062206989;n;=85
86;32.4582342857143;28.7314885714286;28.4768385714286;19.6733214285714;29.4368657142857;11.9938971428571;24.2041914285714;8.12260714285714;180;22.1359171428571;2.87612985632909;49.0682275675326;2.62480485673661;4.80621299720083;3.4135169406512;74.1;130.142857142857;102.185714285714;86.5428571428572;75.5285714285714;11.1409871428571;23.7440657142857;7.24348571428572;13.4000114285714;21.7605928571429;1006.95714285714;1305.42857142857;680.885714285714;379.685714285714;896.671428571429;1074.28571428571;804.285714285714;488.571428571429;5.81924578393887;10.036448388443;9.06089236631835;17.813142926796;6.17465135891828;34.2406398170144;14.1677430401284;31.1968095091755;13.0750247765388;0.735358248715929;65.0358275670328;1.14941467722872;3.61148810504502;2.14077160761316;114.104055134565;1;4.56293161787992;2.26410226342248;34.485514707449;78.3108421083468;37.589977629941;108.585514707449;39.614485292551;208.453699251204;51.8320150345103;113.118549058512;37.9385937986305;732.583844366578;783.282893402702;541.183810903712;1221.15527293801;0;1857.56860768842;291.002820883012;1345.46952518943;263.101903382002;n;=86
87;35.0210073529412;29.5078779411765;28.0688411764706;21.2966720588235;29.0285558823529;11.8455529411765;25.7469102941176;8.54095735294118;180;22.0977558823529;2.76220882969066;53.5361599194168;2.77408159674971;5.00512927652505;3.42513858830589;75.3382352941177;133.279411764706;105.014705882353;84.6176470588235;77.1323529411765;11.0102794117647;25.3802058823529;7.3660705882353;14.8733617647059;21.6774764705882;765.073529411765;1582.29411764706;734.220588235294;364.75;946.941176470588;1225;848.529411764706;367.647058823529;5.6961371907363;8.91203462818647;7.16531106371082;17.5416901319128;6.14941575044017;34.6589449223041;16.8348756659312;29.2630669460638;14.9324448186421;0.616383810296631;49.8323962121444;0.97486262994828;3.37859263998729;2.14582501939403;103.368556131561;3.70376370727243;4.40000121825417;2.45027595835761;36.3784462568595;72.2375528891311;37.9716722424559;111.716681550977;38.9597890372582;205.516964653837;61.0418588755748;115.104025183632;39.1606806987205;304.415846994975;680.292957087376;481.444544956432;672.062905818504;63.2312118285544;1905.29295708738;544.707042912624;1329.97395672114;367.084866808274;n;=87
