n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm5;crossing resolution rm-1;Angular resolution fa;Angular resolution rm;Angular resolution tr;Angular resolution rm5;Angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm5;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm5;Crossing number rm-1;Total Resolution fa;Total Resolution rm;Total Resolution tr;Total Resolution rm5;Total Resolution rm-1;Time fa;Time rm;Time tr;Time rm5;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd angular resolution fa;sd angular resolution rm;sd angular resolution rm-1;ar_up fa;ar_down fa;ar_up rm;ar_down rm;ar_up rm-1;ar_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
78;29.9669683333333;32.8728116666667;31.1194825;22.5415675;25.7762158333333;15.8931808333333;28.1602441666667;9.63876;180;19.7901391666667;2.54601194747929;37.4395508447983;2.52389882562433;5.1265596296282;3.19948532821983;53.7916666666667;90.825;69.0916666666667;63.6083333333333;55.9833333333333;14.8916375;27.7909041666667;8.12609416666667;15.3309983333333;16.6990925;764.216666666667;1316.80833333333;479.775;322.091666666667;337.283333333333;1150;392.5;508.333333333333;6.55723673834785;10.0141675552693;7.08778051759477;22.4504175716812;9.33594409498548;38.1744117219359;18.1460766113974;26.8779196842614;12.7023586490719;0.443759649339865;23.7357589239432;0.76255322868798;2.98977159681915;2.10225229813942;61.1753097687415;13.7037919208552;3.96203855690781;2.43693209953185;26.7747830169031;53.7469424574963;28.9583831589761;80.5664496835697;27.0168836497636;144.571942457496;37.0780575425037;84.9417164923095;27.0249501743572;557.543129934084;684.645525654203;280.803917950114;1065.87646326742;0;1834.6455256542;465.354474345797;673.303917950114;111.696082049886;n;=78
79;29.3391258064516;32.0181494623656;29.3588483870968;22.6104956989247;25.7867150537634;14.3782139784946;26.789588172043;9.12008817204301;180;17.9338344086022;2.57630097960863;49.1213244640087;2.61242603056771;4.83188159532794;3.21839023667702;59.8387096774194;106.354838709677;82.6881720430108;70.9462365591398;61.0322580645161;13.4972086021505;26.5364419354839;7.86594408602151;15.4394612903226;15.8786344086022;823.881720430108;1410.40860215054;564.763440860215;347.505376344086;275.440860215054;1188.17204301075;306.451612903226;535.483870967742;5.77733194430559;10.019990670273;6.22337878262798;20.1555459228002;8.60088203418903;36.809578842316;16.76959750177;24.1572131912301;11.7104556259742;0.421991045983038;49.1656564686337;0.932283750663762;2.99829202559166;2.15430993362559;98.2869809326425;1;4.15067398734078;2.28610648601325;30.391034977648;69.0569464379392;30.6312044692504;90.2297446550673;29.4476746997714;175.411785147617;37.2978922717383;91.6634625337665;30.4010535952657;533.577988531876;683.795269126276;233.966948433591;1069.06185949962;1.90588243586649;1871.96731213703;504.376773884477;540.418561336817;72.4846644696345;n;=79
80;27.7459098039216;30.2043862745098;28.0424911764706;21.2535039215686;24.6614245098039;14.6177441176471;25.358337254902;9.1546205882353;180;18.4447254901961;2.64882686478578;50.7260794138776;2.79193996381358;4.86600040218637;3.41590691430334;63.7549019607843;112.725490196078;82.343137254902;73.3921568627451;66.2745098039216;13.5877137254902;25.1325431372549;7.51574607843137;14.3449892156863;16.4687225490196;737.205882352941;1240.57843137255;487.156862745098;307.254901960784;357.764705882353;1037.25490196078;393.137254901961;472.549019607843;6.40313186160829;9.19224404050406;7.75324493583089;21.0208759792553;8.21461225603876;34.550581295406;16.1660932143979;26.197970426027;10.6914805543652;0.466720042668221;44.9699979965421;0.882388287725239;3.115546907454;2.18210682211756;95.6960774104197;5.75608141733547;4.29829520202858;2.53351862657811;29.1803664749786;68.4390538822096;30.6891656512716;92.9352684357629;34.5745354858057;181.164544078288;44.2864363138689;96.9636754551932;35.58534415265;420.079403796567;679.388421634473;286.065769603643;892.62842340441;52.4696158112765;1716.64332359526;357.866480326311;679.203024505604;107.071485298318;n;=80
81;28.033343956044;31.8561813186813;29.1602538461538;21.5365472527473;25.8112516483516;14.4631186813187;27.4661395604396;9.04209230769231;180;19.4598505494506;2.67386479230432;49.3981846258725;2.68071470780116;4.84140263753388;3.23500814547032;62.7472527472527;108.945054945055;80.3846153846154;75.0549450549451;64.4175824175824;13.5095615384615;27.1260923076923;7.90525274725275;15.041943956044;16.7799406593407;721.32967032967;1453.59340659341;543.098901098901;331.56043956044;340.648351648352;1252.74725274725;378.021978021978;441.758241758242;6.73189052048221;9.4352406070231;7.38535647329488;21.1950092018009;7.73122816083647;36.9013801674627;18.0308989534165;26.8452070227454;12.0744940761557;0.633492084310005;47.3989182490526;0.847171347380507;3.30735687661433;2.04037270799432;96.7971028749252;1.99926637681986;4.08217949285083;2.38783679808981;30.9234155820089;68.6220506571017;31.78331705438;93.6706683292617;31.8238371652438;177.567105602157;40.3230042879532;96.2008994719624;32.6342653632024;657.616222776702;823.183611128925;284.332433684469;1099.37446453494;0;2075.93086387618;429.563641618328;662.354411706447;93.6895443375092;n;=81
82;27.9753;28.6322454545455;27.7916056818182;21.3579977272727;23.6180818181818;13.7172352272727;23.8814659090909;8.98184659090909;180;17.4315477272727;2.65802905733552;55.0615211289265;2.61442812953815;4.97872199084967;3.4863680848504;65.1477272727273;123.409090909091;87.25;73.8068181818182;67.8863636363636;12.7441852272727;23.5602409090909;7.54024090909091;15.2505375;14.9916477272727;799.090909090909;1224.26136363636;784.306818181818;370.579545454545;325.636363636364;990.909090909091;361.363636363636;468.181818181818;6.02294819212872;9.06709324781495;6.44323281894076;19.7401834194015;7.69428703514402;32.9485591569059;14.814372661276;23.8747805462135;10.988314908332;0.432543085271765;68.4864855022417;0.960087502598887;3.09057214260729;2.22548597206376;123.548006631168;1;4.44645558744928;2.52628058225151;28.7224289677914;75.0883979227972;29.5500478705806;93.8701562405187;36.4252983049359;198.497488831888;48.3206929862937;97.4364115069442;38.336315765783;443.482937650887;725.185091495888;285.444528573192;911.664755832705;24.698880530931;1716.09418240498;265.723999413203;646.808164936829;75.9191077904441;n;=82
83;26.896438372093;28.9839023255814;28.5730441860465;20.8243151162791;23.3140058139535;13.5573255813953;24.9655709302326;9.04354534883721;180;17.7505302325581;2.66062507330581;46.7564228366903;2.72772830240381;4.97310649526122;3.71321783210425;67.4302325581395;121.732558139535;88.3837209302326;75.1511627906977;70.1627906976744;12.3016965116279;24.6477465116279;7.51629767441861;14.9537779069767;14.7780488372093;764.674418604651;1430.63953488372;591.174418604651;323.837209302326;357.906976744186;1160.46511627907;368.604651162791;454.651162790698;5.28279605423416;9.22129239107055;6.00872608640369;18.8401216356295;8.27452952716118;34.1868633213031;15.744278539162;23.7592563189618;11.7418041461545;0.448939395547032;43.7509415063107;1.46926671238096;3.10956446885284;2.21168567775878;90.5073643430011;3.0054813303796;5.18248454448521;2.2439511197233;26.226408198686;62.5629893257902;28.9160490609774;93.6566407568255;41.2038243594536;184.295547465325;59.1695688137447;99.0788397586519;41.246741636697;479.621658919314;754.481367604878;287.897705651311;934.272821710011;0;1914.94648388395;405.983748674191;656.502356814101;80.7069455114801;n;=83
84;27.8785205128205;29.2306064102564;28.8888397435897;21.3903358974359;22.7194102564103;14.0959461538462;25.2634756410256;8.84467820512821;180;16.7371153846154;2.71203751251075;46.0835031490096;2.64179048340281;5.19666246153132;3.42820338533292;67.1410256410256;113.846153846154;90.9871794871795;76.6025641025641;69.8717948717949;13.4331243589744;24.7958346153846;7.36147435897436;14.3338102564103;13.885458974359;1041.0641025641;1361.39743589744;528.423076923077;334.628205128205;364.025641025641;1102.5641025641;387.179487179487;608.974358974359;5.95936926381622;9.73548035707049;7.12998857952632;20.0553154176624;8.13657689002993;34.9989559980961;15.5279952839552;23.8671039641417;9.60712680508906;0.462566097099025;43.6254507111801;0.916788956567893;3.17460360960978;2.24947141541172;89.7089538601897;2.45805243782957;4.34499234190081;2.51141442876503;29.3818233231286;57.2545187743284;30.5768603513243;96.5228489641542;37.7592023178971;171.100672620482;56.5916350718255;100.448655223119;39.2949345204706;797.591487637739;718.037433270547;293.814578139013;1406.5658466121;0;1820.60153583465;384.526669293555;680.9940653185;93.364909040474;n;=84
85;27.9259452054795;28.8811164383562;29.1173712328767;20.3511931506849;23.9664;14.5065109589041;24.998695890411;8.97568493150685;180;18.3657739726027;2.69033939736661;52.531930379363;2.66188607923814;5.07362906670878;3.3903826975734;67.1643835616438;124.630136986301;88.3972602739726;77.7397260273973;69.8493150684932;13.5461219178082;24.5733465753425;7.90420410958904;13.8420054794521;15.4872082191781;928.808219178082;1370.05479452055;619.095890410959;292.397260273973;340.150684931507;1130.13698630137;354.794520547945;541.095890410959;6.44603410173353;11.1924967356787;7.18282771693146;20.9525450606376;8.06047685717058;36.1911926260896;13.8061991547323;25.5486016895342;11.1829462556713;0.516412356763471;48.6071886846405;0.896497481520456;3.20675175413008;2.17392704060314;101.139119064003;3.92474169472258;4.28688017909386;2.49388521605294;27.6385468034481;76.6277993596527;30.0849128084331;94.802930365092;39.5258367581957;201.257936345954;48.0023376266486;99.9342278769262;39.7644022600601;530.417973666459;774.89872662799;244.972275013141;1071.51386407742;10.6779167445001;1905.03571292936;355.23825967338;599.766795561087;109.822245534804;n;=85
86;26.9192842857143;28.7314885714286;28.4768385714286;19.6733214285714;23.9329842857143;12.1859414285714;24.2041914285714;8.12260714285714;180;18.0299142857143;2.67270358984232;49.0682275675326;2.62480485673661;4.80621299720083;3.57844441365741;74.2285714285714;130.142857142857;102.185714285714;86.5428571428572;75.9714285714286;11.5549457142857;23.7440657142857;7.24348571428572;13.4000114285714;15.6459;830.857142857143;1305.42857142857;680.885714285714;379.685714285714;367.214285714286;1074.28571428571;388.571428571429;455.714285714286;5.92287770369239;9.51516929823786;6.49190964574282;18.1088191322638;6.26306372487904;33.7193607268093;14.6890221303336;24.5218239314571;11.5380046399715;0.427166567381645;65.0358275670328;0.946813579633595;3.09987015722397;2.24553702246068;114.104055134565;1;4.52525799329101;2.63163083402382;34.7171475104586;78.3108421083468;35.1184213721052;108.94571893903;39.5114239181129;208.453699251204;51.8320150345103;111.089849943534;40.8530071993233;797.57525914227;783.282893402702;292.18956381231;1253.28954485656;0;1857.56860768842;291.002820883012;680.760992383739;96.3818647591183;n;=86
87;26.6823176470588;29.5078779411765;28.0688411764706;21.2966720588235;23.5660941176471;12.4346205882353;25.7469102941176;8.54095735294118;180;16.5482367647059;2.74662528562034;53.5361599194168;2.77408159674971;5.00512927652505;3.68618197585261;75.8970588235294;133.279411764706;105.014705882353;84.6176470588235;76.5147058823529;11.6838191176471;25.3802058823529;7.3660705882353;14.8733617647059;14.4308044117647;1015.61764705882;1582.29411764706;734.220588235294;364.75;330.617647058824;1225;348.529411764706;539.705882352941;5.0278712321748;9.19515899615223;6.03918955593454;17.4624918204101;7.40674935606049;34.9420692902699;16.5517512979654;22.5874263206404;10.5090472087713;0.575536843043378;49.8323962121444;1.04592366648218;3.32216212866372;2.17108844257696;103.368556131561;3.70376370727243;4.73210564233479;2.64025830937043;35.4645670156627;72.2375528891311;36.1998980154656;111.361625839192;40.4324918078667;205.516964653837;61.0418588755748;112.714603897819;40.3148078668873;581.593207037655;680.292957087376;277.78046042993;1121.2990893906;0;1905.29295708738;544.707042912624;626.309872194636;70.7489513347762;n;=87
