n;crossing resolution fa;crossing resolution rm;crossing resolution tr;crossing resolution rm-1;angular resolution fa;angular resolution rm;angular resolution tr;angular resolution rm-1;Aspect ratio fa;Aspect ratio rm;Aspect ratio tr;Aspect ratio rm-1;Crossing number fa;Crossing number rm;Crossing number tr;Crossing number rm-1;Time fa;Time rm;Time tr;Time rm-1;Iterations rm;Iterations rm-1;Iterations fa;sd crossing resolution fa;sd crossing resolution rm;sd crossing resolution rm-1;cr_up fa;cr_down fa;cr_up rm;cr_down rm;cr_up rm-1;cr_down rm-1;sd aspect ratio fa;sd aspect ratio rm;sd aspect ratio rm-1;asp_up fa;asp_down fa;asp_up rm;asp_down rm;asp_up rm-1;asp_down rm-1;sd crossing number fa;sd crossing number rm;sd crossing number rm-1;cn_up fa;cn_down fa;cn_up rm;cn_down rm;cn_up rm-1;cn_down rm-1;sd iterations fa;sd iterations rm;sd iterations rm-1;it_up fa;it_down fa;it_up rm;it_down rm;it_up rm-1;it_down rm-1;a;b
65;49.0744205607476;68.5346887850467;49.0744205607476;60.2703514018692;12.4816813084112;8.03155514018692;12.4816813084112;9.13444018691589;2.31701479982276;45.785924392619;2.31701479982276;2.90806801844893;42.0093457943925;50.588785046729;42.0093457943925;36.5794392523364;699.420560747664;672.738317757009;699.420560747664;456.261682242991;1353.27102803738;1120.56074766355;644.859813084112;14.3546252791055;15.104846249549;12.8558354135489;63.4290458398532;34.7197952816421;83.6395350345957;53.4298425354977;73.126186815418;47.4145159883203;0.451693414419041;46.6341746429179;0.934988548583458;2.7687082142418;1.86532138540372;92.4200990355369;1;3.84305656703239;1.97307946986547;26.3157515521913;39.8594117270557;24.001193910232;68.3250973465838;15.6935942422013;90.4481967737847;10.7293733196733;60.5806331625685;12.5782453421044;831.029555233545;749.882727562186;633.161924169721;1475.88936831766;0;2103.15375559957;603.388300475198;1753.72267183327;487.39882349383;n;=65
66;49.4194175257732;67.6994463917526;49.4194175257732;58.2290288659794;12.7802865979381;8.75208350515465;12.7802865979381;9.42130515463918;2.37180039641524;56.3728072110322;2.37180039641524;3.67424695954027;40.8865979381443;51.8865979381443;40.8865979381443;37.0721649484536;686.618556701031;685.876288659794;686.618556701031;406.628865979381;1334.0206185567;981.443298969072;625.773195876289;12.9766965221155;15.3821070777534;13.4345386449517;62.3961140478887;36.4427210036577;83.081553469506;52.3173393139992;71.663567510931;44.7944902210277;0.52460617307049;73.2865859219737;7.45212297582816;2.89640656948573;1.84719422334475;129.659393133006;1;11.1263699353684;1;25.7297154281532;36.3647254356986;25.0296688213376;66.6163133662976;15.1568825099911;88.251323373843;15.5218725024457;62.1018337697913;12.042496127116;755.021847161208;767.556539440003;552.330271234826;1380.7950430375;0;2101.5771579967;566.464079116698;1533.7735702039;429.113027734246;n;=66
67;50.8160670103093;68.4678628865979;50.8160670103093;61.6004567010309;13.2431432989691;7.80332268041237;13.2431432989691;9.85619690721649;2.37809319483744;53.8174483269197;2.37809319483744;3.07476164049925;40.639175257732;54.1855670103093;40.639175257732;36.7525773195876;1000.38144329897;700.309278350515;1000.38144329897;445.587628865979;1383.50515463918;1053.60824742268;918.556701030928;14.2025166058235;14.8271689774304;12.9055310140564;65.0185836161328;36.6135504044858;83.2950318640284;53.6406939091675;74.5059877150874;48.6949256869745;0.569001718050921;61.5805348829628;1.91812766596366;2.94709491288836;1.80909147678652;115.397983209882;1;4.99288930646291;1.15663397453559;23.4929890104697;43.3133759884738;23.3122066236388;64.1321642682016;17.1461862472623;97.4989429987831;10.8721910218355;60.0647839432265;13.4403706959488;1801.4074299065;744.378993464118;660.659685413959;2719.96413093743;0;2127.88414810329;639.126161175057;1714.26793283664;392.948562008721;n;=67
68;49.0696211111111;67.2006611111111;49.0696211111111;57.3100466666667;12.0432055555556;7.39265555555556;12.0432055555556;8.58694444444445;2.36775028364996;46.8623115233583;2.36775028364996;2.84859580835637;41.8;54.2222222222222;41.8;38.3333333333333;634.033333333333;665.766666666667;634.033333333333;435.122222222222;1281.11111111111;1016.66666666667;550;12.5366334993297;14.1470012557209;12.1431098917253;61.6062546104408;36.5329876117814;81.3476623668321;53.0536598553902;69.453156558392;45.1669367749414;0.524952520396202;44.3897774061612;0.633565900843811;2.89270280404616;1.84279776325375;91.2520889295195;2.47253411719702;3.48216170920018;2.21502990751256;24.2992578607716;38.2536706846407;23.3483632705963;66.0992578607716;17.5007421392284;92.4758929068629;15.9685515375815;61.6816966039296;14.984970062737;663.028462113832;726.990787763596;611.178636605286;1213.02846211383;0;2008.10189887471;554.120323347515;1627.84530327195;405.488030061381;n;=68
69;47.243155;65.397385;47.243155;60.36039625;12.5884525;7.871845;12.5884525;9.3419975;2.362855624761;71.7732234160817;2.362855624761;2.95240787418208;41.925;57.9625;41.925;37.5875;746.75;660.05;746.75;508.35;1262.5;1235;662.5;13.2655977063344;15.3413356407551;13.547596950858;60.5087527063344;33.9775572936656;80.7387206407551;50.0560493592448;73.907993200858;46.812799299142;0.503716109294993;100.776084437854;0.787720788340054;2.86657173405599;1.85913951546601;172.549307853936;1;3.74012866252213;2.16468708584202;21.964168173284;42.4005743184175;22.9107756141189;63.889168173284;19.960831826716;100.363074318417;15.5619256815825;60.4982756141189;14.6767243858811;1611.14590873717;695.07762975973;704.614087751748;2273.64590873716;0;1957.57762975973;567.42237024027;1939.61408775175;530.385912248252;n;=69
70;46.80958875;66.377065;46.80958875;57.6842125;10.84793125;6.56459125;10.84793125;8.54793375;2.42719727175457;60.0445619553925;2.42719727175457;2.95753289284179;45.275;57.275;45.275;40.325;981.625;772.375;981.625;460.8625;1462.5;1071.25;835;13.3823348645267;13.5875872758191;13.5258097843203;60.1919236145267;33.4272538854733;79.9646522758191;52.7894777241809;71.2100222843203;44.1584027156797;0.462751683135502;68.1965295812499;0.734303820514043;2.88994895489007;1.96444558861907;128.241091536642;1;3.69183671335583;2.22322907232774;24.1278110449909;39.9055768444855;21.2661107952167;69.4028110449909;21.1471889550091;97.1805768444855;17.3694231555145;61.5911107952167;19.0588892047833;2460.27167379149;964.742373953412;616.070386821983;3295.27167379149;0;2427.24237395341;497.757626046588;1687.32038682198;455.179613178017;n;=70
71;46.8655640449438;66.3944123595505;46.8655640449438;57.1527730337079;11.8367247191011;7.68610449438202;11.8367247191011;8.94591797752809;2.42022399115526;46.327951931837;2.42022399115526;2.90572713732044;45.7191011235955;58.1460674157303;45.7191011235955;41.4044943820225;1000.22471910112;706.168539325843;1000.22471910112;483.640449438202;1315.73033707865;1035.95505617978;844.943820224719;13.1528383234661;14.1807871389091;13.4315309349676;60.0184023684099;33.7127257214777;80.5751994984596;52.2136252206414;70.5843039686755;43.7212420987402;0.51695354055304;55.138242173589;0.737039469389847;2.9371775317083;1.90327045060222;101.466194105426;1;3.64276660671029;2.1686876679306;23.1025327045469;37.6178604104359;22.9464391677681;68.8216338281424;22.6165684190486;95.7639278261662;20.5282070052944;64.3509335497906;18.4580552142544;2847.24792307314;736.376089126599;628.715716761203;3692.19174329786;0;2052.10642620525;579.354247952053;1664.67077294098;407.239339418572;n;=71
72;47.3106322222222;66.6173922222222;47.3106322222222;55.8858888888889;10.7096177777778;7.28710777777777;10.7096177777778;8.37667444444444;2.42751803165006;54.5617331087984;2.42751803165006;2.84613323906296;44.7333333333333;60.5444444444444;44.7333333333333;40.6333333333333;688.788888888889;826.122222222222;688.788888888889;447.111111111111;1523.33333333333;993.333333333333;573.333333333333;11.4269400533807;14.8329660982922;13.6563691558719;58.737572275603;35.8836921688415;81.4503583205144;51.78442612393;69.5422580447607;42.229519733017;0.495647378125703;61.0804281554993;0.55397469456544;2.92316540977576;1.93187065352436;115.642161264298;1;3.4001079336284;2.29215854449752;22.6163905961032;40.9489024179947;20.1547106044855;67.3497239294365;22.1169427372301;101.493346862439;19.5955420264497;60.7880439378189;20.4786227288478;593.750221762229;961.044609564527;717.642833138502;1167.08355509556;0;2484.37794289786;562.288723768806;1710.97616647184;275.690500194831;n;=72
73;49.3186423529412;67.25142;49.3186423529412;58.8453752941176;12.9752282352941;7.56176352941176;12.9752282352941;9.08432588235294;2.33480331641333;69.2283706303959;2.33480331641333;2.92770969468316;39.4941176470588;51.4117647058824;39.4941176470588;34.9294117647059;1036.47058823529;647.317647058824;1036.47058823529;413.894117647059;1222.35294117647;964.705882352941;825.882352941176;11.9992710500856;14.7451140872219;14.7434685528873;61.3179134030268;37.3193713028555;81.996534087222;52.5063059127781;73.5888438470049;44.1019067412303;0.457681036331702;96.6061827673293;0.710356230747819;2.79248435274503;1.87712228008163;165.834553397725;1;3.63806592543098;2.21735346393534;17.8182781551576;35.3375876092188;16.475658983348;57.3123958022164;21.6758394919012;86.7493523151012;16.0741770966635;51.4050707480538;18.4537527813579;1611.28113337068;723.479764186722;599.147386739202;2437.16348631186;0;1945.83270536319;498.873176989749;1563.85326909214;365.558495613739;n;=73
74;45.8964301886793;66.4670113207547;45.8964301886793;57.5102896226415;10.7063518867925;7.02420188679245;10.7063518867925;8.51394528301887;2.38591086099481;63.8462148538905;2.38591086099481;2.88839298359916;45.2547169811321;55.1320754716981;45.2547169811321;41.0188679245283;724.547169811321;730.981132075472;724.547169811321;488.084905660377;1336.79245283019;1100.94339622642;559.433962264151;12.5345100057187;14.1737443742484;12.4320811596215;58.4309401943979;33.3619201829606;80.6407556950031;52.2932669465063;69.942370782263;45.07820846302;0.479667807948517;77.6155503115819;0.632071779812409;2.86557866894333;1.9062430530463;141.461765165472;1;3.52046476341157;2.25632120378676;22.0864368295092;31.5646201795612;21.2235184606383;67.3411538106412;23.1682801516229;86.6966956512593;23.5674552921369;62.2423863851667;19.79534946389;591.008549110158;841.803672586781;709.996013807572;1150.44251137431;0;2178.59612541697;494.988780243407;1810.93941003399;390.947382418843;n;=74
75;43.8294915887851;64.8235887850468;43.8294915887851;56.6119588785047;10.5744887850467;6.4380261682243;10.5744887850467;7.50647196261682;2.40795561690763;59.2065333110261;2.40795561690763;2.99363461601789;51.4392523364486;66.0747663551402;51.4392523364486;46.5607476635514;621.672897196262;821.03738317757;621.672897196262;544.327102803738;1475.70093457944;1155.14018691589;456.07476635514;13.2949265231042;14.664413834179;10.2670485442135;57.1244181118893;30.5345650656808;79.4880026192258;50.1591749508677;66.8790074227182;46.3449103342912;0.555738287620354;91.6221053541007;0.954179600712303;2.96369390452799;1.85221732928728;150.828638665127;1;3.94781421673019;2.03945501530558;30.492862626094;47.1500417044133;30.2468390895218;81.9321149625426;20.9463897103546;113.224808059553;18.9247246507269;76.8075867530732;16.3139085740296;426.078558194944;757.20951482317;728.81833086683;882.153324550085;29.9962081601957;2232.91044940261;718.491419756269;1883.95851778272;426.321856049058;n;=75
76;42.9078223214286;59.6596178571429;42.9078223214286;53.2977580357143;10.6509696428571;6.50633571428571;10.6509696428571;8.67377410714286;2.47666002057298;56.0500747587226;2.47666002057298;3.07147961899264;55.4910714285714;74.5;55.4910714285714;49.3660714285714;685.071428571429;676.5;685.071428571429;535.848214285714;1174.10714285714;1073.21428571429;503.571428571429;10.9376247472831;15.2140170348707;12.8519034590467;53.8454470687117;31.9701975741454;74.8736348920136;44.4456008222722;66.1496614947609;40.4458545766676;0.499403053314777;56.7256953423928;0.699603895224385;2.97606307388775;1.9772569672582;112.775770101115;1;3.77108351421702;2.37187572376825;24.5235667260663;45.6437438358353;23.5536556469945;80.0146381546377;30.9675047025051;120.143743835835;28.8562561641647;72.9197270755659;25.812415781577;564.079186094761;769.549480430857;599.095736435923;1067.65061466619;0;1943.656623288;404.557662426285;1672.31002215021;474.118549278362;n;=76
77;44.4814285714285;64.9755613445378;44.4814285714285;55.1489722689075;11.0684420168067;6.86177226890756;11.0684420168067;8.6697781512605;2.43896543031906;62.1807369536765;2.43896543031906;2.9861505724685;50.6302521008403;62.1008403361345;50.6302521008403;44.7142857142857;789.050420168067;754.798319327731;789.050420168067;486.310924369748;1271.42857142857;973.949579831933;567.226890756303;11.6906234301519;13.1579731467539;11.8537162918548;56.1720520015805;32.7908051412766;78.1335344912917;51.8175881977839;67.0026885607624;43.2952559770528;0.46016242230907;65.7263318834663;0.692648421276482;2.89912785262813;1.97880300800999;127.907068837143;1;3.67879899374498;2.29350215119202;24.2800977109064;37.157109171728;23.3325781037699;74.9103498117467;26.350154389934;99.2579495078625;24.9437311644064;68.0468638180556;21.3817076105158;494.05092094955;738.200153963916;635.99144340182;1061.27781170585;73.1759698067526;2009.62872539249;533.228417464656;1609.94102323375;337.958136430113;n;=77
78;44.3585933333333;63.58923;44.3585933333333;53.4320491666667;10.5467441666667;6.77775833333333;10.5467441666667;8.10188833333333;2.53756433016381;50.7937316646997;2.53756433016381;3.18604194666141;53.975;71.125;53.975;49.4416666666667;1175.41666666667;862.341666666667;1175.41666666667;491;1462.5;964.166666666667;811.666666666667;11.9141696123166;13.4764948647175;12.9416051158315;56.2727629456499;32.4444237210168;77.0657248647175;50.1127351352825;66.3736542824982;40.4904440508351;0.561229871698114;41.2706455394435;0.981492931258117;3.09879420186192;1.97633445846569;92.0643772041432;9.52308612525627;4.16753487791953;2.20454901540329;27.060300699541;45.0992486288935;26.9583543850225;81.035300699541;26.914699300459;116.224248628894;26.0257513711065;76.4000210516891;22.4833122816442;1849.92315685666;804.823953817638;615.595064074725;2661.58982352333;0;2267.32395381764;657.676046182362;1579.76173074139;348.571602591941;n;=78
79;42.6660139784946;59.8121333333333;42.6660139784946;54.6091935483871;9.77976559139785;6.20877204301075;9.77976559139785;7.31596129032258;2.49921862485402;63.1420108386205;2.49921862485402;3.07047674849481;60.0537634408602;85.0967741935484;60.0537634408602;55.7311827956989;862.301075268817;817.827956989247;862.301075268817;611.430107526882;1287.09677419355;1184.94623655914;586.021505376344;12.094234179411;13.7874123864088;10.9247012464356;54.7602481579056;30.5717797990836;73.5995457197421;46.0247209469245;65.5338947948227;43.6844923019515;0.469246033943514;91.1418746617064;0.706056284126848;2.96846465879753;2.0299725909105;154.283885500327;1;3.77653303262165;2.36442046436796;30.6453647787344;58.3251874363132;31.0179260179554;90.6991282195946;29.4083986621259;143.421961629862;26.7715867572352;86.7491088136543;24.7132567777436;669.294144383772;619.997511645009;588.281623728979;1255.31564976012;0;1907.09428583856;667.09926254854;1773.22786028812;596.664612830161;n;=79
80;41.7447950980392;58.2599039215686;41.7447950980392;51.6816088235294;9.29812156862745;5.89552549019609;9.29812156862745;7.33045490196079;2.61537493747142;61.7325512598538;2.61537493747142;3.24157117704223;65.5980392156863;87.7745098039216;65.5980392156863;59.2254901960784;914.352941176471;853.078431372549;914.352941176471;582.764705882353;1391.17647058824;1083.33333333333;610.78431372549;11.4973166828619;13.4148331884687;12.1344621324385;53.2421117809011;30.2474784151773;71.6747371100373;44.8450707331;63.816070955968;39.5471466910909;0.56698646714196;63.1171689976407;0.847721047923883;3.18236140461338;2.04838847032945;124.849720257494;1;4.08929222496611;2.39385012911834;30.1104435038484;49.2526135131542;27.9737878944427;95.7084827195347;35.4875957118379;137.027123317076;38.5218962907674;87.1992780905211;31.2517023016357;984.122151190783;853.078634516542;714.778001031842;1594.90646491627;0;2244.25510510478;538.097836071693;1798.11133436518;368.555332301491;n;=80
81;41.718189010989;60.7134483516483;41.6137448717949;52.036143956044;9.51277692307692;6.18731538461539;9.15288974358975;6.68578241758242;2.53713513945466;64.6870745632995;2.54350935872898;3.10662211588563;63.032967032967;85.1428571428571;62.7051282051282;56.7252747252747;1425.9010989011;849.525641025641;1522.70512820513;526.549450549451;1385.71428571429;959.340659340659;917.582417582418;12.2678148561316;13.7495350342585;11.8616381786198;53.9860038671206;29.4503741548574;74.4629833859069;46.9639133173898;63.8977821346638;40.1745057774242;0.462058754419358;66.9608994523202;0.627318885472109;2.99919389387402;2.0750763850353;131.64797401562;1;3.73394100135774;2.47930323041352;31.6253943495661;52.8710320662084;28.9555467471034;94.6583613825331;31.4075726834009;138.013889209066;32.2718250766488;85.6808214723781;27.7697279781714;4005.87328269639;831.808128058846;507.713397275366;4923.45570027881;0;2217.52241377313;553.906157655439;1467.05405661603;451.627262065293;n;=81
82;40.6727795454546;58.3319034090909;40.3206376623377;51.2122329545455;8.81401363636364;5.50287045454546;8.40306753246753;6.65666477272727;2.63100307842839;60.3367760922051;2.63672170065775;3.23996830391594;65.6931818181818;90.0795454545455;66.1688311688312;59.5568181818182;855.045454545455;907.441558441558;832.74025974026;572.602272727273;1405.68181818182;1057.95454545455;546.590909090909;10.6755146810828;13.4437245103598;12.0323202380779;51.3482942265373;29.9972648643718;71.7756279194507;44.8881788987311;63.2445531926234;39.1799127164675;0.507959327980912;55.3656835428285;0.723881469820391;3.1389624064093;2.12304375044747;115.702459635034;4.97109254937656;3.96384977373633;2.51608683409555;28.8883534399645;55.7239133526285;27.7703463587709;94.5815352581463;36.8048283782173;145.803458807174;34.355632101917;87.3271645405891;31.7864718230472;477.047640609047;745.925014650745;611.709793507799;1023.63854969996;69.5432684818623;2151.60683283256;659.756803531073;1669.66433896234;446.244751946746;n;=82
83;39.1759465116279;57.3896930232558;38.7884753424658;49.9897709302326;8.47113255813953;4.99198255813954;8.23400958904109;7.07182325581395;2.6387620892139;74.7570124260688;2.64875810321063;3.30485496620435;67.7093023255814;98.8255813953488;68.8356164383562;60.7906976744186;870.03488372093;898.986301369863;901.835616438356;585.662790697674;1339.53488372093;1047.67441860465;532.558139534884;11.1184166561579;13.2348663949948;10.2554841127348;50.2943631677858;28.05752985547;70.6245594182506;44.154826628261;60.2452550429674;39.7342868174977;0.586118473259129;144.635378517259;0.798335643854735;3.22488056247303;2.05264361595477;219.392390943328;1;4.10319061005908;2.50651932234961;26.5714868317281;57.1576132256938;25.6657777544889;94.2807891573095;41.1378154938533;155.983194621043;41.6679681696551;86.4564754289075;35.1249199199297;404.516228268989;737.448553701914;585.255448337289;937.074367803873;128.041911265895;2076.98343742284;602.086330019016;1632.92986694194;462.418970267362;n;=83
