n_min;n_max;avg;cr rm;cr rm-1;cr fa;cr tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd cr rm;sd cr rm-1;sd cr fa;sd cr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
40;42;41;58.5567952380952;54.5904714285714;39.955719047619;40.1061904761905;28.5344415125799;3.45502639791529;8.07398318641429;5.28285008259502;129.095238095238;116.952380952381;129.714285714286;122.571428571429;1147.61904761905;1152.38095238095;1161.90476190476;261.857142857143;22.6590149048337;21.797309804954;19.4659408423179;17.472609844036;81.215810142929;76.3877812335254;59.4216598899369;57.5788003202265;35.8977803332615;32.7931616236174;20.4897782053012;22.6335806321545;30.5592013271;0.977235513175571;19.2777963993486;4.01758500064408;59.0936428396799;4.43226191109086;27.3517795857628;9.3004350832391;1;2.47779088473972;1;1.26526508195093;173.888442618221;156.898207826118;168.208544033037;175.954133633902;302.98368071346;273.850588778499;297.922829747323;298.525562205331;0;0;0;0;561.799828781611;995.298471624994;1496.48795199834;248.152631602868;1709.41887640066;2147.67942400595;2658.3927139031;510.009774460011;585.819218837437;157.082480755959;0;13.7045112542751;n_floor;=39
43;45;44;64.4694545454546;60.5947909090909;47.6028727272727;40.0427272727273;27.8393536301954;3.00513745892961;169.314761706123;48.4864869765158;192.909090909091;174.363636363636;230.454545454545;238.909090909091;627.272727272727;800;690.909090909091;178.636363636364;28.950112740622;24.5008150852764;22.7012419162076;18.7233063805029;90;85.0956059943673;70.3041146434803;58.7660336532302;35.5193418048325;36.0939758238145;24.9016308110651;21.3194208922243;16.9387672288055;1.29848057305907;552.77767438214;151.587687368598;44.7781208590009;4.30361803198868;722.092436088263;200.074174345114;10.9005864013899;1.70665688587055;1;1;492.080573594499;449.081345131875;629.227838487199;670.645577715302;684.98966450359;623.444981495512;859.682383941745;909.554668624393;0;0;0;0;303.614588222994;382.099463490856;504.88522548109;227.240081291691;930.887315495721;1182.09946349086;1195.79431639018;405.876444928055;323.658139049733;417.900536509144;186.023865428001;0;n_floor;=42
46;48;47;75.2364529411765;69.2650176470588;56.1902470588235;46.4941176470588;59.929585555968;2.64522928855999;2.42268554210679;2.87449201995502;63.0588235294118;52.2352941176471;56;54.2941176470588;1176.47058823529;1123.52941176471;1147.05882352941;178.647058823529;18.3790045115383;19.1274652589946;15.1519506243057;14.9794734799089;90;88.3924829060534;71.3421976831292;61.4735911269677;56.8574484296381;50.1375523880643;41.0382964345179;31.5146441671499;110.955679936079;0.9723031576626;0.798648551412308;1.12063837722773;170.885265492047;3.61753244622259;3.2213340935191;3.99513039718275;1;1.67292613089739;1.62403699069448;1.75385364272728;144.95493721681;129.014790533762;127.87102877509;126.828015786085;208.013760746222;181.250084651409;183.87102877509;181.122133433143;0;0;0;0;864.963447034545;626.028565407268;1815.25399292317;251.194382196455;2041.43403526984;1749.55797717197;2962.31281645259;429.841441019985;311.507141200749;497.500846357438;0;0;n_floor;=45
49;51;50;69.8526;59.0893875;46.455825;34.235;23.3650966849438;3.72462364579417;3.62542556088105;3.37680579311462;58.375;67.75;65.375;66.375;950;1050;737.5;55.125;22.7680224165385;23.6418880759455;24.7150689356427;13.8699345966117;90;82.7312755759455;71.1708939356427;48.1049345966117;47.0845775834615;35.4474994240545;21.7407560643573;20.3650654033883;14.1624442962053;1.85701849177711;2.25068149858746;1.50757560822808;37.5275409811491;5.58164213757128;5.87610705946852;4.8843814013427;9.20265238873843;1.86760515401707;1.37474406229359;1.86923018488654;75.7136287033489;81.6346390064554;66.8322794121865;70.2301064867686;134.088628703349;149.384639006455;132.207279412187;136.605106486769;0;0;0;0;486.973158544552;736.788397613007;841.660773199546;83.4547567761804;1436.97315854455;1786.78839761301;1579.16077319955;138.57975677618;463.026841455448;313.211602386993;0;0;n_floor;=48
52;54;53;44.0152;38.28432;30.93166;28.23;71.3025351067388;3.07440920777698;3.34722419723227;143.466590854814;388.8;403.6;385.4;522;820;1260;280;199;29.4306506772276;17.4926800986012;21.3571518873187;17.2278205237923;73.4458506772277;55.7770000986012;52.2888118873187;45.4578205237923;14.5845493227724;20.7916399013987;9.57450811268132;11.0021794762077;120.138115871148;1.17666069731165;1.38758886828799;312.22327150542;191.440650977887;4.25106990508863;4.73481306552026;455.689862360234;1;1.89774851046532;1.95963532894428;1;621.762173181997;703.418296605939;646.072209586514;977.134842281248;1010.562173182;1107.01829660594;1031.47220958651;1499.13484228125;0;0;0;0;746.324326281812;801.872807869178;356.370593624109;197.439864262514;1566.32432628181;2061.87280786918;636.370593624109;396.439864262514;73.6756737181884;458.127192130822;0;1.56013573748589;n_floor;=51
55;57;56;38.7724037037037;39.8400777777778;26.9159333333333;23.707037037037;41.5873899745576;4.67415970836851;78.6498570072249;326.749677575089;309.62962962963;267.222222222222;283.259259259259;379.333333333333;848.148148148148;970.37037037037;537.037037037037;162.185185185185;19.1994149243685;20.452137777811;16.0424992815478;13.0672149392212;57.9718186280722;60.2922155555888;42.9584326148811;36.7742519762583;19.5729887793352;19.3879399999668;10.8734340517855;10.6398220978158;47.8377908385797;2.02458823461083;270.598469478825;919.449199065506;89.4251808131373;6.69874794297934;349.24832648605;1246.1988766406;1;2.64957147375768;1;1;452.930131150163;447.92713464214;477.607788284697;733.19915439122;762.559760779793;715.149356864362;760.867047543956;1112.53248772455;0;0;0;0;617.295821348348;741.004938639628;447.340988636141;217.184083040001;1465.4439694965;1711.37530901;984.378025673178;379.369268225186;230.852326799801;229.365431730742;89.696048400896;0;n_floor;=54
58;60;59;41.4670285714286;39.5708142857143;26.2341428571429;22.02;30.8890770838134;4.02468625469832;4.01818891170119;4.56445560123879;201.5;148.571428571429;150.5;157;1071.42857142857;964.285714285714;571.428571428571;170.5;20.3370495315032;10.2731831336856;12.2308703856402;4.0910878748812;61.8040781029317;49.8439974193999;38.465013242783;26.1110878748812;21.1299790399254;29.2976311520287;14.0032724715027;17.9289121251188;19.3221681749899;1.26046893427938;1.2010370561535;1.33880420136747;50.2112452588033;5.2851551889777;5.21922596785469;5.90325980260625;11.5669089088235;2.76421732041894;2.81715185554769;3.22565139987132;117.386770319972;81.5557518470688;81.3319409296533;85.9498959591262;318.886770319972;230.127180418497;231.831940929653;242.949895959126;84.1132296800281;67.0156767243598;69.1680590703467;71.0501040408738;1020.88089520659;664.028663488306;571.675770706776;216.427550499895;2092.30946663516;1628.31437777402;1143.10434213535;386.927550499895;50.5476762219845;300.257050797408;0;0;n_floor;=57
61;63;62;43.0501818181818;41.7536772727273;27.5350090909091;27.3290909090909;55.7336128899364;3.87306087207956;3.62733396929441;4.5322804057542;199.545454545455;149.772727272727;152.136363636364;167.272727272727;850;972.727272727273;413.636363636364;66.9090909090909;16.6663354662036;15.1623148086655;17.2271241223974;10.5747407529141;59.7165172843854;56.9159920813928;44.7621332133064;37.903831662005;26.3838463519783;26.5913624640617;10.3078849685117;16.7543501561768;47.3406866676267;1.03024340799909;1.1218995315315;1.20402625929518;103.074299557563;4.90330428007865;4.74923350082592;5.73630666504937;8.39292622230968;2.84281746408046;2.50543443776291;3.32825414645902;105.416058807686;78.2498634218688;76.6279169907264;84.2943718497334;304.96151335314;228.022590694596;228.76428062709;251.567099122461;94.1293957377688;71.5228638508584;75.5084466456372;82.9783554229939;453.294816290889;610.372109908466;396.767239605593;143.287227055413;1303.29481629089;1583.09938263574;810.403603241957;210.196317964504;396.705183709111;362.355162818807;16.8691240307701;0;n_floor;=60
64;66;65;31.5119444444444;28.9911111111111;23.1592666666667;23.31;22.047611144085;4.58681249595898;5.2143580301106;16.0367817131439;377.555555555556;314.333333333333;304.444444444444;341.222222222222;522.222222222222;511.111111111111;355.555555555556;117.333333333333;16.629798257128;18.3344108243519;13.5186541323462;11.7091075663348;48.1417427015724;47.325521935463;36.6779207990128;35.0191075663349;14.8821461873164;10.6567002867592;9.6406125343205;11.6008924336652;16.2446373678602;2.33976533319364;4.11812921684658;27.7834717182816;38.2922485119453;6.92657782915262;9.33248724695717;43.8202534314255;5.80297377622481;2.24704716276534;1.09622881326402;1;335.59876009571;315.555066509793;277.774238866346;372.737433650612;713.154315651265;629.888399843127;582.21868331079;713.959655872834;41.9567954598458;0;26.6702055780985;0;420.647648804132;560.009920547048;450.308536203543;136.209397619988;942.869871026354;1071.12103165816;805.864091759099;253.542730953321;101.57457341809;0;0;0;n_floor;=63
67;69;68;58.0099;48.298;39.3546;21.76;28.4073006826648;3.80878446988802;4.01859831571988;3.49225534962844;49;63;59;47;600;400;700;11;0;0;0;0;58.0099;48.298;39.3546;21.76;58.0099;48.298;39.3546;21.76;0;0;0;0;28.4073006826648;3.80878446988802;4.01859831571988;3.49225534962844;28.4073006826648;3.80878446988802;4.01859831571988;3.49225534962844;0;0;0;0;49;63;59;47;49;63;59;47;0;0;0;0;600;400;700;11;600;400;700;11;n_floor;=66
70;72;71;56.7709;57.7947;37.0455;25.62;18.682036991097;5.10101470398464;3.62679587838072;5.02985074626866;86;53;79;85;1100;800;200;546;0;0;0;0;56.7709;57.7947;37.0455;25.62;56.7709;57.7947;37.0455;25.62;0;0;0;0;18.682036991097;5.10101470398464;3.62679587838072;5.02985074626866;18.682036991097;5.10101470398464;3.62679587838072;5.02985074626866;0;0;0;0;86;53;79;85;86;53;79;85;0;0;0;0;1100;800;200;546;1100;800;200;546;n_floor;=69
73;75;74;73.2834285714286;67.5472285714286;59.4138428571429;44.0714285714286;48.2553062368647;3.69605981206346;3.43157019314061;3.32243049569112;45.7142857142857;40;47.1428571428571;40.4285714285714;1271.42857142857;957.142857142857;1528.57142857143;62.2857142857143;15.8620696623228;24.6080567788082;25.0508692345433;9.13477317465414;89.1454982337514;90;84.4647120916862;53.2062017460827;57.4213589091058;42.9391717926204;34.3629736225995;34.9366553967744;33.8277647073998;1.23671080442399;1.18074787394661;0.515380795895845;82.0830709442646;4.93277061648746;4.61231806708722;3.83781129158696;14.4275415294649;2.45934900763947;2.250822319194;2.80704969979527;55.0808928931328;47.588514020367;50.4890369995592;46.8823248245262;100.795178607418;87.588514020367;97.6318941424163;87.3108962530976;0;0;0;0;1135.3623294119;442.933941113657;1897.99392843627;107.399122103355;2406.79090084047;1400.07679825651;3426.5653570077;169.68483638907;136.06624201667;514.208916029201;0;0;n_floor;=72
76;78;77;42.3288;48.0748;46.59195;32.315;22.979490527713;2.38141464772929;2.34310963700818;2.69954650289296;64;46;56.5;57.5;300;500;450;10.5;31.1743580835276;2.37870721191154;9.79038836027458;17.189765850645;73.5031580835276;50.4535072119115;56.3823383602746;49.504765850645;11.1544419164724;45.6960927880885;36.8015616397254;15.125234149355;28.8521223835965;0.051199753922921;0.172552422985802;0.190811616944527;51.8316129113096;2.43261440165221;2.51566205999398;2.89035811983749;1;2.33021489380637;2.17055721402238;2.50873488594843;12.7279220613579;5.65685424949238;4.94974746830583;17.6776695296637;76.7279220613579;51.6568542494924;61.4497474683058;75.1776695296637;51.2720779386421;40.3431457505076;51.5502525316942;39.8223304703363;424.264068711929;424.264068711929;494.974746830583;0.707106781186548;724.264068711929;924.264068711929;944.974746830583;11.2071067811865;0;75.7359312880715;0;9.79289321881345;n_floor;=75
79;81;80;68.9003428571429;62.8386714285714;54.0692;40.1885714285714;25.558212273734;3.62782621691806;3.17607850883663;4.06335797053216;102.142857142857;76.5714285714286;89.1428571428571;90.4285714285714;1485.71428571429;771.428571428571;2442.85714285714;87.4285714285714;29.8924792653524;28.4245079701018;24.7918854989558;16.824641084405;90;90;78.8610854989558;57.0132125129764;39.0078635917905;34.4141634584696;29.2773145010442;23.3639303441665;12.5913173013757;1.62024376030316;1.2165790150614;2.50397057409683;38.1495295751096;5.24806997722121;4.39265752389803;6.56732854462899;12.9668949723583;2.0075824566149;1.95949949377523;1.55938739643533;157.022746304931;114.078711339813;135.834983922195;135.527189329739;259.165603447789;190.650139911242;224.977841065052;225.955760758311;0;0;0;0;870.686647477287;621.059003408119;3488.96218707758;128.625887937145;2356.40093319157;1392.48757483669;5931.81932993472;216.054459365717;615.027638236998;150.369568020453;0;0;n_floor;=78
82;84;83;29.0314;28.3648333333333;20.6959;25.2066666666667;37.0322225718279;5.87130766518701;4.61463588626432;7.10194268811502;272.333333333333;203.333333333333;189.666666666667;178.666666666667;566.666666666667;300;200;416.333333333333;7.73821203961225;11.2563436791586;6.2992836092686;4.49822557608368;36.7696120396123;39.6211770124919;26.9951836092686;29.7048922427503;21.2931879603877;17.1084896541748;14.3966163907314;20.708441090583;4.85665993696579;1.02108243769625;0.505444379744822;1.66447535217717;41.8888825087937;6.89239010288327;5.12008026600914;8.76641804029219;32.1755626348621;4.85022522749076;4.1091915065195;5.43746733593785;211.012637852175;98.3378530034764;62.4045938479959;62.1154838452807;483.345971185509;301.67118633681;252.071260514663;240.782150511947;61.3206954811579;104.995480329857;127.262072818671;116.551182821386;550.75705472861;360.555127546399;100;189.558258415014;1117.42372139528;660.555127546399;300;605.891591748348;15.9096119380564;0;100;226.775074918319;n_floor;=81
85;87;86;39.4752181818182;41.5204090909091;35.5783181818182;32.4563636363636;23.20488312428;5.89950639813403;6.21759622387571;6.11392297367213;302.818181818182;270.909090909091;243.909090909091;228.636363636364;672.727272727273;954.545454545455;736.363636363636;198.818181818182;32.9096295532726;26.1160288961187;24.3824174015957;22.6231930870632;72.3848477350908;67.6364379870278;59.9607355834139;55.0795567234269;6.56558862854553;15.4043801947903;11.1959007802225;9.8331705493004;19.8438849486396;2.52288466821433;3.59547888214611;2.81226939555519;43.0487680729196;8.42239106634835;9.81307510602182;8.92619236922732;3.36099817564044;3.3766217299197;2.6221173417296;3.30165357811693;293.159962539846;262.118848824519;208.870991066474;186.086148182648;595.978144358027;533.02793973361;452.780081975565;414.722511819012;9.65821927833628;8.79024208457219;35.0380998426173;42.5502154537153;870.736365487177;675.816005083686;842.938582902369;206.164894286985;1543.46363821445;1630.36145962914;1579.30221926601;404.983076105167;0;278.729449461768;0;0;n_floor;=84
