Graph;Nodes;Edges;Max Degree;Crossing Only Angular Res;Crossing Only Crossing Res;Crossing Only Iterations;Crossing Only Edge Length;Crossing Only No of Crossings;Crossing Only Time;Crossing Only Non Planar Crossing;Aspect Ratio;Non-Planar;Valid
grafo10808.98.gml;98;136;8;0.76;34.18;2009;175.42;121;10335;34.18;2.44177671068427;1;1
grafo10812.98.gml;98;128;7;2.57;27.43;3534;173.96;104;17162;27.43;4.29841386942088;1;1
grafo10814.98.gml;98;141;9;1.76;22.41;2402;178.52;285;13627;22.41;3.52470916705444;1;1
grafo10825.98.gml;98;138;7;0.02;13.53;1871;17375.55;271;10186;13.53;4446.93593096234;1;1
grafo10831.98.gml;98;146;9;0;13.31;0;9954.81;503;46555;13.31;4017.15228426396;1;1
grafo10833.98.gml;98;132;8;0.18;32.78;1969;2292.12;119;10226;32.78;892.551002947048;1;1
grafo10862.98.gml;98;136;8;1.21;33.22;994;191.98;121;5151;33.22;3.13062836021505;1;1
grafo10866.98.gml;98;135;6;0.11;15.82;3294;189.01;377;17729;15.82;3.06547183613753;1;1
grafo10885.98.gml;98;124;8;0.01;44.31;5272;164.84;152;23887;44.31;1.92774109550823;1;1
grafo10895.98.gml;98;130;6;0.2;15.86;3556;3486.52;149;16919;15.86;874.876760930815;1;1
grafo10908.98.gml;98;135;10;0.04;21.45;4028;3186.66;287;21366;21.45;1168.0459149967;1;1
grafo10918.98.gml;98;140;8;0.18;20.61;0;210.36;558;44928;20.61;8.51220685508118;1;1
grafo10924.98.gml;98;129;8;2.73;40.09;1730;180.9;66;8381;40.09;3.5560095674706;1;1
grafo10936.98.gml;98;124;7;0.47;59.98;1288;188.83;42;5684;59.98;2.28192865542924;1;1
grafo10945.98.gml;98;142;9;0.11;21.58;887;190.28;158;4823;21.58;3.72974063982238;1;1
grafo10948.98.gml;98;130;11;0.24;32.93;2576;166.28;100;12988;32.93;2.54079302470417;1;1
grafo10969.98.gml;98;131;9;0.11;25;992;192.82;118;5622;25;2.89154639175258;1;1
grafo10978.98.gml;98;130;8;4.3;25.76;224;224.47;95;1154;25.76;3.12793962793963;1;1
grafo10984.98.gml;98;132;8;0.73;35.81;2900;168.28;95;13845;35.81;2.81855769230769;1;1
grafo10988.98.gml;98;127;8;1.48;50.16;4297;165.24;47;19381;50.16;1.69465132024374;1;1
grafo11004.98.gml;98;117;8;0.99;53.5;4234;532.51;39;16920;53.5;71.5655571182997;1;1
grafo11009.98.gml;98;126;8;0.07;23.29;3165;108789.17;137;14682;23.29;12675.7358994231;1;1
grafo11015.98.gml;98;136;7;0;12.01;4997;7877.01;386;27676;12.01;1737.6444005084;1;1
grafo11016.98.gml;98;145;9;0.1;20.21;6984;4250.22;578;45813;20.21;2388.0665315369;1;1
grafo11050.98.gml;98;141;8;0.15;29.71;2014;3374.88;191;11453;29.71;966.498803623312;1;1
grafo11055.98.gml;98;126;7;0.99;42.39;1272;191.24;51;5676;42.39;2.26584680786457;1;1
grafo11056.98.gml;98;136;8;0;3.68;0;155948.54;261;38050;3.68;26687.980228417;1;1
grafo11058.98.gml;98;130;7;0.16;26.89;846;195.31;102;4090;26.89;3.55406287899991;1;1
grafo11059.98.gml;98;129;7;2.22;37.98;5308;161.66;115;25471;37.98;2.07986810771204;1;1
grafo11067.98.gml;98;137;9;1.59;29.12;600;204.07;98;3097;29.12;2.86062478544456;1;1
grafo11072.98.gml;98;143;8;3.88;24.28;434;206.18;118;2406;24.28;3.56676256557793;1;1
grafo11094.98.gml;98;132;8;2.71;33.62;1622;182.89;117;7986;33.62;2.63419877625269;1;1
grafo11102.98.gml;98;136;9;0.07;39.47;1602;178.55;120;8701;39.47;2.98441558441558;1;1
grafo11113.98.gml;98;137;8;0.01;11.74;6751;78876.26;233;38322;11.74;17337.0842652796;1;1
grafo11119.98.gml;98;135;6;0.39;31.62;1236;187.94;117;6276;31.62;2.745565515926;1;1
grafo11136.98.gml;98;122;8;0.06;53.47;4274;163.8;70;18235;53.47;1.95787101248266;1;1
grafo11139.98.gml;98;124;9;0.78;26.28;2700;173.61;168;13130;26.28;2.74174852652259;1;1
grafo11140.98.gml;98;138;7;0.47;19.85;4610;610.48;304;24681;19.85;142.052544997097;1;1
grafo11143.98.gml;98;135;8;1.69;22.59;418;210.78;126;2158;22.59;4.04125113327289;1;1
grafo11152.98.gml;98;134;9;0.12;25.32;3432;180.16;241;18518;25.32;4.19359601365692;1;1
grafo11156.98.gml;98;117;6;0.51;37.23;2415;183.24;48;9943;37.23;2.61427886919023;1;1
grafo11177.98.gml;98;131;6;0;0;6543;575069.15;375;33917;;132909.670784435;1;1
grafo11187.98.gml;98;128;6;0.64;30.82;1452;186.23;80;6987;30.82;2.83754421424962;1;1
grafo11198.98.gml;98;136;8;0.14;20.04;0;204.39;479;38258;20.04;12.4200324976787;1;1
grafo3158.98.gml;98;133;8;0.23;31.19;1870;176.03;115;9290;31.19;2.55752212389381;1;1
grafo3224.98.gml;98;141;8;0.37;20.91;0;200.94;543;42199;20.91;5.31641946396045;1;1
grafo3482.98.gml;98;134;9;0.03;25.67;2886;14624.88;140;15088;25.67;4838.57503121099;1;1
grafo3979.98.gml;98;136;8;0.89;39.81;1816;175.51;122;9084;39.81;3.58527175763077;1;1
grafo6278.98.gml;98;131;9;0.06;37.14;1575;181.26;104;8132;37.14;2.8631695809048;1;1
grafo6562.98.gml;98;138;8;3.09;39.69;1287;179.6;94;6463;39.69;3.10765262252794;1;1
grafo6660.98.gml;98;134;8;0.5;36.44;739;198.74;90;3688;36.44;2.99087158781708;1;1
grafo7447.98.gml;98;129;7;1.43;33.18;169;227.66;63;781;33.18;3.3876509610478;1;1
grafo7793.98.gml;98;134;9;1.14;29.7;2621;171.71;170;13136;29.7;3.1327320850897;1;1
grafo8035.98.gml;98;133;9;0.02;15.31;725;7904.99;138;3739;15.31;809.40469762419;1;1
grafo8478.98.gml;98;140;8;0.42;39.81;1272;181.11;130;6753;39.81;2.43619288138269;1;1
grafo8566.98.gml;98;139;11;0.04;33.99;2030;172.49;178;11283;33.99;4.11184439041334;1;1
grafo8673.98.gml;98;140;7;0.03;39.6;1212;182.73;140;6638;39.6;2.53608157573645;1;1
grafo8710.98.gml;98;126;9;2.29;51.67;1152;193.82;36;5118;51.67;2.56548650656103;1;1
grafo8777.98.gml;98;140;8;0.65;21.63;1312;183.9;171;7064;21.63;3.48348318999218;1;1
grafo8792.98.gml;98;132;8;0.03;34.92;2710;169.21;154;13952;34.92;3.55747583854463;1;1
grafo8806.98.gml;98;121;8;0.15;45.51;4863;158.67;64;22720;45.51;1.56750237555734;1;1
grafo8864.98.gml;98;141;8;0.08;28.55;1719;4991.95;204;9957;28.55;1683.79561464431;1;1
grafo8875.98.gml;98;131;9;8.52;33.68;219;221.26;57;1059;33.68;3.07084032331859;1;1
grafo8943.98.gml;98;146;8;2.54;24.96;569;197.72;169;3300;24.96;3.07737494263424;1;1
grafo9042.98.gml;98;131;8;0.18;39.58;3043;167.32;104;14472;39.58;2.67681845062093;1;1
grafo9344.98.gml;98;130;8;0.02;43.58;2491;171.78;93;11474;43.58;2.22849266196384;1;1
grafo9362.98.gml;98;143;8;0.11;12.71;0;911.65;409;48347;12.71;262.192417410509;1;1
grafo10061.99.gml;99;131;8;0.9;35.13;1072;191.01;86;5231;35.13;2.30419906687403;1;1
grafo10100.99.gml;99;139;8;0.24;36.39;1015;190.71;105;5265;36.39;2.99902663481108;1;1
grafo10108.99.gml;99;129;8;0.01;14.24;0;72443.53;278;34650;14.24;17702.2523000708;1;1
grafo10125.99.gml;99;114;8;0.12;63.33;0;157.82;24;27850;63.33;1.31411281908604;1;1
grafo10129.99.gml;99;135;6;0.1;25.23;0;1154.97;245;37785;25.23;208.245853261423;1;1
grafo10161.99.gml;99;148;10;0.12;15.67;954;2050.17;297;5885;15.67;282.747540983607;1;1
grafo10171.99.gml;99;140;7;0.2;14.98;0;214.71;628;43784;14.98;13.8359655981235;1;1
grafo10172.99.gml;99;132;7;0.32;35.86;1194;188.27;119;6020;35.86;3.17904827114002;1;1
grafo10175.99.gml;99;143;8;0.51;26.16;2123;175.3;222;12159;26.16;2.70979085693133;1;1
grafo10178.99.gml;99;128;8;0.09;40.99;1565;184.27;61;7812;40.99;2.39991954947707;1;1
grafo10195.99.gml;99;142;10;1.08;26.35;949;188.88;151;5522;26.35;3.53946367440091;1;1
grafo10209.99.gml;99;145;8;0.06;13.27;6238;233.02;796;40583;13.27;21.9428306141398;1;1
grafo10213.99.gml;99;132;8;0.36;22.42;3775;182.56;244;20919;22.42;3.33606988738028;1;1
grafo10217.99.gml;99;133;7;0.1;21.98;0;8060;309;37519;21.98;2783.15466499687;1;1
grafo10219.99.gml;99;128;6;0.96;43.9;1484;186.03;63;6931;43.9;2.09649327423995;1;1
grafo10222.99.gml;99;128;6;0.48;47.63;2420;170.84;82;11277;47.63;1.82674170976574;1;1
grafo10225.99.gml;99;133;8;0.04;15.8;4136;6725.9;230;21178;15.8;2293.44700944386;1;1
grafo10244.99.gml;99;141;9;0;13.74;0;128889.77;273;41356;13.74;37437.7664300626;1;1
grafo10264.99.gml;99;127;7;0.33;25.89;6163;167.99;124;27934;25.89;3.60364313256216;1;1
grafo10269.99.gml;99;138;10;0.01;26.98;1548;182.37;156;8188;26.98;3.9812147777082;1;1
grafo10274.99.gml;99;132;7;0.39;47.09;3599;165.65;124;17587;47.09;1.9144589849984;1;1
grafo10289.99.gml;99;125;7;3.07;47.87;1971;179.03;69;9073;47.87;2.31533652675164;1;1
grafo10293.99.gml;99;135;7;0.16;40.99;1837;176.98;98;9026;40.99;2.16586139211838;1;1
grafo10307.99.gml;99;125;7;2;41.64;2612;177.72;53;11797;41.64;1.79837997054492;1;1
grafo10324.99.gml;99;118;7;0;72.42;2326;179.32;20;9584;72.42;2.14976942666391;1;1
grafo10348.99.gml;99;131;6;1.31;36.58;1136;191.34;88;5619;36.58;2.79909099341434;1;1
grafo10353.99.gml;99;140;8;0.32;28.95;1457;181;177;8071;28.95;3.86660716056729;1;1
