n_min;n_max;avg;tr rm;tr rm-1;tr fa;tr tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd tr rm;sd tr rm-1;sd tr fa;sd tr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
40;42;41;15.5192095238095;13.6022095238095;8.00602380952381;10.08;19.0896884119961;3.7789707859109;3.94808149033953;38.7174601087048;180.428571428571;117.571428571429;113.380952380952;139.47619047619;1271.42857142857;1076.19047619048;519.047619047619;790.809523809524;11.5429166043901;10.3521591118426;8.55018597627588;9.52209115688356;27.0621261281996;23.9543686356521;16.5562097857997;19.6020911568836;3.97629291941942;3.25005041196698;0;0.557908843116447;10.9619200684462;1.19145756633472;1.97335799475304;145.347782045333;30.0516084804423;4.97042835224561;5.92143948509257;184.065242154038;8.12776834354995;2.58751321957618;1.97472349558649;1;201.630744537774;151.140851998582;147.07735250217;211.764165771176;382.059315966346;268.71228057001;260.458304883123;351.240356247366;0;0;0;0;884.388408530357;1071.86975043835;442.288421303393;1027.60608304192;2155.81697995893;2148.06022662882;961.336040351012;1818.41560685145;387.040162898215;4.3207257521301;76.7591977442261;0;n_floor;=39
43;45;44;24.2386181818182;23.9148818181818;13.0926545454545;17.7645454545455;17.9125091813617;3.11937490874897;2.88916890107092;60.4699691540109;211.090909090909;188.454545454545;155.272727272727;199.363636363636;1009.09090909091;1254.54545454545;318.181818181818;1167.63636363636;16.4573445542602;17.2400746955933;10.4293509916354;9.06945793709455;40.6959627360783;41.1549565137751;23.52200553709;26.83400339164;7.78127362755803;6.67480712258852;2.6633035538191;8.69508751745091;11.469915421885;1.43243409338026;1.29018900374359;185.999087088869;29.3824246032467;4.55180900212923;4.17935790481451;246.46905624288;6.44259375947679;1.68694081536872;1.59897989732733;1;483.19632749959;493.089315162347;396.159334336348;516.234883115675;694.287236590499;681.543860616893;551.432061609075;715.598519479311;0;0;0;0;613.929223045369;881.321322065496;373.679493197531;1157.88145098946;1623.02013213628;2135.86677661095;691.861311379349;2325.51781462582;395.16168604554;373.224132479959;0;9.75491264690481;n_floor;=42
46;48;47;23.8194058823529;21.7539764705882;14.2144117647059;18.8664705882353;21.048888309751;2.68854385704239;2.4515590768048;4.32997062796213;68.0588235294118;56.1764705882353;54.5294117647059;57.0588235294118;1082.35294117647;1017.64705882353;300;1239;13.6581736233963;10.9278660748296;9.06861451359043;9.56199504626027;37.4775795057492;32.6818425454178;23.2830262782963;28.4284656344956;10.1612322589567;10.8261103957586;5.14579725111546;9.30447554197503;14.1458421160117;1.09141223365873;0.585278361933707;1.26621856568211;35.1947304257627;3.77995609070112;3.0368374387385;5.59618919364425;6.90304619373929;1.59713162338366;1.86628071487109;3.06375206228002;124.944723071963;125.665346901064;130.930381141591;132.514843785628;193.003546601374;181.841817489299;185.459792906297;189.57366731504;0;0;0;0;909.831917250136;590.799557927271;282.842712474619;1212.03532333014;1992.18485842661;1608.4466167508;582.842712474619;2451.03532333014;172.521023926334;426.847500896258;17.157287525381;26.9646766698588;n_floor;=45
49;51;50;20.4465625;16.8160375;12.587175;16.265;18.1009676642535;4.21588140645601;3.74646811375518;5.45268592092289;100.25;81.875;64.375;77.25;912.5;925;425;1377.375;18.2527799299518;12.4277686675488;16.5926211398535;16.9654632373284;38.6993424299518;29.2438061675488;29.1797961398535;33.2304632373284;2.19378257004823;4.38826883245122;0;0;11.2401098867314;1.92420100105191;2.23159265728292;2.22895950646702;29.341077550985;6.14008240750791;5.9780607710381;7.68164542738991;6.8608577775221;2.2916804054041;1.51487545647226;3.22372641445586;110.353652279517;90.8868016506561;69.732012529602;91.4342074155744;210.603652279517;172.761801650656;134.107012529602;168.684207415574;0;0;0;0;581.715443445382;928.516481890794;345.377640106759;1600.65396791436;1494.21544344538;1853.51648189079;770.377640106759;2978.02896791436;330.784556554618;0;79.6223598932405;0;n_floor;=48
52;54;53;14.3737;14.74196;7.02342;11.476;14.324100658945;4.16346982297194;3.42008795497024;122.491933108038;427.6;379.4;359.4;555;960;680;380;753.2;7.81270903464349;10.9042546573803;5.8566392305656;5.46165084933118;22.1864090346435;25.6462146573803;12.8800592305656;16.9376508493312;6.56099096535651;3.8377053426197;1.1667807694344;6.01434915066882;4.98977490140098;1.25163870388231;1.22116950098328;252.637952699318;19.3138755603459;5.41510852685426;4.64125745595352;375.129885807357;9.33432575754398;2.91183111908963;2.19891845398696;1;639.685704076619;650.408563904259;609.677619730296;1037.59626059465;1067.28570407662;1029.80856390426;969.077619730297;1592.59626059465;0;0;0;0;527.257053058563;563.02753041037;277.488738510232;730.31479513974;1487.25705305856;1243.02753041037;657.488738510232;1483.51479513974;432.742946941437;116.97246958963;102.511261489768;22.8852048602603;n_floor;=51
55;57;56;12.8215888888889;13.5113777777778;5.81512962962963;10.5933333333333;24.133908974573;3.96817389144789;3.92725398651006;28.1424565159467;330.148148148148;267.962962962963;262.074074074074;396.074074074074;825.925925925926;951.851851851852;418.518518518519;1097.62962962963;10.8878076274594;10.4368365488758;5.81522643919292;8.50469870130624;23.7093965163483;23.9482143266535;11.6303560688225;19.0980320346396;1.93378126142944;3.07454122890203;0;2.0886346320271;23.665247770582;1.26017512361941;1.23867808000445;75.7889818551913;47.799156745155;5.22834901506731;5.16593206651451;103.931438371138;1;2.70799876782848;2.68857590650561;1;441.10479338411;434.76328497254;440.982724755476;825.84557719886;771.252941532259;702.726247935503;703.05679882955;1221.91965127293;0;0;0;0;739.330566532783;848.695999922764;373.174569416593;1246.0072894017;1565.25649245871;1800.54785177462;791.693087935111;2343.63691903133;86.5953593931425;103.155851929088;45.343949101926;0;n_floor;=54
58;60;59;10.8431428571429;9.68175714285715;3.79855714285714;10.0678571428571;30.517294774552;4.34549458438543;3.85999616481668;16.7181438932073;241.857142857143;153.5;148.285714285714;186;807.142857142857;514.285714285714;300;902.642857142857;6.13299415227735;6.30159416518054;2.22101002516156;5.56469251147382;16.9761370094202;15.9833513080377;6.0195671680187;15.632549654331;4.71014870486551;3.38016297767661;1.57754711769559;4.50316463138333;24.335494509572;0.973551469434119;1.05152991451192;32.3844139446031;54.852789284124;5.31904605381954;4.9115260793286;49.1025578378104;6.18180026498008;3.37194311495131;2.80846625030476;1;136.913143237634;79.8891058328307;80.002335130755;151.661566552739;378.770286094777;233.389105832831;228.288049416469;337.661566552739;104.943999619509;73.6108941671693;68.2833791549593;34.3384334472614;874.83122391103;405.457278138652;348.623667496143;835.18368381709;1681.97408105389;919.742992424367;648.623667496143;1737.82654095995;0;108.828436147062;0;67.4591733257666;n_floor;=57
61;63;62;14.1139590909091;16.5550636363636;6.95995;11.1022727272727;29.9658874214063;3.95628889973528;3.6567189399765;10.5789545541898;233.5;159.181818181818;148.863636363636;175.136363636364;836.363636363636;1031.81818181818;445.454545454545;1193.36363636364;7.64011686919208;7.25867287768786;3.51504634972489;4.64502901914989;21.7540759601012;23.8137365140515;10.4749963497249;15.7473017464226;6.47384222171701;9.29639075867578;3.44490365027511;6.45724370812284;19.3745452449731;1.02165840417898;0.998381946538549;8.04616871810985;49.3404326663794;4.97794730391426;4.65510088651505;18.6251232722996;10.5913421764332;2.9346304955563;2.65833699343795;2.5327858360799;112.328069680268;79.4718496813488;75.387440822502;91.2074012528043;345.828069680268;238.653667863167;224.251077186138;266.343764889168;121.171930319732;79.7099685004694;73.4761955411344;83.9289623835593;779.221500721167;519.511092173954;309.726873116841;1273.02065016934;1615.5851370848;1551.32927399214;755.181418571387;2466.38428653298;57.1421356424697;512.307089644227;135.727672337704;0;n_floor;=60
64;66;65;6.58864444444445;6.14574444444444;2.94884444444444;4.65444444444444;25.8620712447116;4.07506117598291;5.92872333416097;134.36828178197;399;337.333333333333;310;416.888888888889;855.555555555556;722.222222222222;288.888888888889;1801.11111111111;4.24015722883925;5.87411260385582;3.5033647194915;4.91281770247765;10.8288016732837;12.0198570483003;6.45220916393595;9.5672621469221;2.34848721560519;0.271631840588626;0;0;8.59409325305457;1.32814197457294;5.31304730252207;247.172282015736;34.4561644977662;5.40320315055585;11.241770636683;381.540563797706;17.267977991657;2.74691920140998;1;1;333.698591546323;326.793130282752;285.503502605485;465.392427002321;732.698591546323;664.126463616086;595.503502605485;882.281315891211;65.3014084536766;10.5402030505808;24.4964973945153;0;895.978670381041;626.054665699765;214.734978778752;1759.06249494187;1751.5342259366;1348.27688792199;503.623867667641;3560.17360605298;0;96.1675565224572;74.1539101101368;42.0486161692425;n_floor;=63
67;69;68;11.2303;14.4786;2.5361;9.23;19.8801487013911;3.55594486713479;2.7135041625472;4.66360174607597;175;78;58;52;1100;1600;400;917;0;0;0;0;11.2303;14.4786;2.5361;9.23;11.2303;14.4786;2.5361;9.23;0;0;0;0;19.8801487013911;3.55594486713479;2.7135041625472;4.66360174607597;19.8801487013911;3.55594486713479;2.7135041625472;4.66360174607597;0;0;0;0;175;78;58;52;175;78;58;52;0;0;0;0;1100;1600;400;917;1100;1600;400;917;n_floor;=66
70;72;71;10.4485;10.9116;3.5568;2.83;22.8437115766359;4.79178340263712;3.52955929687682;7.55398530243075;176;98;71;124;1000;500;200;175;0;0;0;0;10.4485;10.9116;3.5568;2.83;10.4485;10.9116;3.5568;2.83;0;0;0;0;22.8437115766359;4.79178340263712;3.52955929687682;7.55398530243075;22.8437115766359;4.79178340263712;3.52955929687682;7.55398530243075;0;0;0;0;176;98;71;124;176;98;71;124;0;0;0;0;1000;500;200;175;1000;500;200;175;n_floor;=69
73;75;74;16.2841285714286;14.2870714285714;6.16834285714286;12.1642857142857;36.1389010892588;3.50111539906881;2.97889531030242;5.54906989273903;101.857142857143;48;43.7142857142857;43.7142857142857;842.857142857143;942.857142857143;428.571428571429;1162.14285714286;12.238940241665;7.13598782526855;4.26083135739852;6.17704043789812;28.5230688130936;21.42305925384;10.4291742145414;18.3413261521838;4.04518832976354;7.15108360330288;1.90751149974434;5.9872452763876;20.0965420969383;0.725274822671583;0.605766474116072;1.96823801943772;56.2354431861971;4.22639022174039;3.58466178441849;7.51730791217675;16.0423589923205;2.77584057639723;2.37312883618634;3.58083187330131;66.1398230302757;43.730233629988;47.7448576138984;47.3804259362953;167.996965887419;91.730233629988;91.4591433281841;91.094711650581;35.7173198268671;4.269766370012;0;0;582.68671644702;667.974906856894;460.848079502294;1517.81108053357;1425.54385930416;1610.83204971404;889.419508073722;2679.95393767643;260.170426410123;274.882236000249;0;0;n_floor;=72
76;78;77;26.02195;18.27135;6.8742;16.545;33.0811651085069;2.65755978395171;2.55462267533872;5.3048748207356;116.5;54;49.5;60.5;1950;750;650;3368.5;14.2308775247699;9.75715434155881;4.4090936234106;11.8016121780035;40.2528275247699;28.0285043415588;11.2832936234106;28.3466121780035;11.7910724752301;8.51419565844119;2.4651063765894;4.74338782199652;2.67101999567492;0.13635163243293;0.097060526481769;0.65593220986965;35.7521851041818;2.79391141638464;2.65168320182049;5.96080703060525;30.410145112832;2.52120815151878;2.45756214885696;4.64894261086595;19.0918830920368;8.48528137423857;6.36396103067893;9.19238815542512;135.591883092037;62.4852813742386;55.8639610306789;69.6923881554251;97.4081169079632;45.5147186257614;43.1360389693211;51.3076118445749;494.974746830583;353.553390593274;636.396103067893;2529.32095630428;2444.97474683058;1103.55339059327;1286.39610306789;5897.82095630428;1455.02525316942;396.446609406726;13.6038969321072;839.179043695719;n_floor;=75
79;81;80;13.1535857142857;13.1831285714286;6.23807142857143;11.9985714285714;57.102756442943;3.57031111751465;2.8254883638808;120.32365100229;158.571428571429;83.4285714285714;71.8571428571429;127;1014.28571428571;1042.85714285714;328.571428571429;1707.85714285714;8.4053659552353;6.61085520406003;4.13039288838011;9.73061393844436;21.558951669521;19.7939837754886;10.3684643169515;21.7291853670158;4.74821975905042;6.57227336736854;2.10767854019132;2.26795749012707;55.3822876776225;1.68219398054499;0.977486050769786;307.070881067015;112.485044120565;5.25250509805964;3.80297441465058;427.394532069305;1.72046876532045;1.88811713696966;1.84800231311101;1;204.032560426726;120.238453559108;100.577380776244;209.084512418623;362.603988998155;203.667024987679;172.434523633387;336.084512418623;0;0;0;0;1054.24312728543;718.463970001611;138.013111868471;1801.91947920095;2068.52884157115;1761.32111285875;466.584540439899;3509.77662205809;0;324.393172855532;190.558316702958;0;n_floor;=78
82;84;83;1.8254;4.8944;2.1578;3.16666666666667;16.5156818678076;5.92210418479622;3.66119786574331;11.3583485640116;330.666666666667;209.666666666667;169.666666666667;270.333333333333;400;866.666666666667;233.333333333333;464.666666666667;1.04415897257075;2.35537220625531;2.39495407262853;0.860310021639486;2.86955897257075;7.24977220625531;4.55275407262853;4.02697668830615;0.781241027429252;2.53902779374469;0;2.30635664502718;3.18686904962272;0.803903677345936;0.553693267364186;5.86656320074188;19.7025509174303;6.72600786214216;4.21489113310749;17.2249117647535;13.3288128181849;5.11820050745029;3.10750459837912;5.49178536326975;255.758349488992;80.7547728207648;55.3744826913384;197.348253940422;586.425016155659;290.421439487431;225.041149358005;467.681587273755;74.9083171776748;128.911893845902;114.292183975328;72.9850793929112;300;550.75705472861;230.94010767585;385.206870828304;700;1417.42372139528;464.273441009184;849.87353749497;100;315.909611938056;2.39322565748304;79.4597958383632;n_floor;=81
85;87;86;6.8226;7.07216363636364;2.94783636363636;6.49363636363636;64.8234400695341;5.48232098752001;5.5614746264391;160.932818251162;347.090909090909;265.545454545455;234.090909090909;319.090909090909;700;763.636363636364;281.818181818182;633.454545454546;7.18399033727078;6.87348847998929;4.43298073586447;6.67811391446308;14.0065903372708;13.9456521163529;7.38081709950083;13.1717502780994;0;0.198675156374349;0;0;73.2121233881362;1.59473661637985;2.97424438679276;498.031436934484;138.03556345767;7.07705760389986;8.53571901323186;658.964255185646;1;3.88758437114015;2.58723023964633;1;261.069130517361;227.782950914402;204.796218004852;338.770853098508;608.16003960827;493.328405459856;438.887127095761;657.861762189417;86.021778573548;37.7625036310528;29.294691086057;0;666.333249958307;654.633832417371;267.649703224875;519.633979573385;1366.33324995831;1418.27019605373;549.467885043057;1153.08852502793;33.6667500416927;109.002531218993;14.1684785933069;113.820565881161;n_floor;=84
88;90;89;7.81185;9.8791;4.2708;5.79;25.0344747792998;3.68277483376028;2.63161715316457;9.94440560465009;240;73.5;76;188;500;350;100;1813.5;3.50944166570695;2.70836039330071;2.44022550187478;2.43244732728172;11.321291665707;12.5874603933007;6.71102550187478;8.22244732728172;4.30240833429305;7.17073960669929;1.83057449812522;3.35755267271828;1.72838876745693;0.413371039356829;0.114362489814018;2.76009767230599;26.7628635467568;4.09614587311711;2.74597964297859;12.7045032769561;23.3060860118429;3.26940379440346;2.51725466335055;7.1843079323441;19.7989898732233;36.0624458405139;33.9411254969543;91.9238815542512;259.798989873223;109.562445840514;109.941125496954;279.923881554251;220.201010126777;37.4375541594861;42.0588745030457;96.0761184457488;141.42135623731;212.132034355964;0;494.267640049397;641.42135623731;562.132034355964;100;2307.7676400494;358.57864376269;137.867965644036;100;1319.2323599506;n_floor;=87
91;93;92;5.6309;5.7575;0.8379;4.65;38.271632883266;6.22082322955037;6.05427375329517;15.3687834449845;841.5;443.5;441;483.5;600;300;300;325.5;4.33640304630462;6.82485323065632;0.349169328549917;2.41830519165799;9.96730304630462;12.5823532306563;1.18706932854992;7.06830519165799;1.29449695369538;0;0.488730671450083;2.23169480834201;7.52443189958977;0.546961249643497;4.19390860059363;13.4230019222912;45.7960647828558;6.76778447919386;10.2481823538888;28.7917853672757;30.7472009836762;5.67386197990687;1.86036515270154;1.94578152269322;867.620020515894;477.29707730092;489.317892581091;549.421968981947;1709.12002051589;920.79707730092;930.317892581091;1032.92196898195;0;0;0;0;282.842712474619;282.842712474619;0;62.9325035256027;882.842712474619;582.842712474619;300;388.432503525603;317.157287525381;17.157287525381;300;262.567496474397;n_floor;=90
94;96;95;11.53962;9.4981;7.73704;12.102;38.2013084981452;4.26554445961219;4.03743985444244;8.15358412069803;311.4;171;137.4;198.8;900;760;680;589;12.5407612955514;6.96312271542014;9.77075268047452;12.5936678533301;24.0803812955514;16.4612227154201;17.5077926804745;24.6956678533301;0;2.53497728457986;0;0;19.6892990764313;1.60189776086669;1.76180268638679;4.39364303019881;57.8906075745766;5.86744222047888;5.79924254082923;12.5472271508968;18.5120094217139;2.6636466987455;2.27563716805566;3.75994109049922;304.825031780528;162.239021200203;123.855964733234;189.825446134073;616.225031780528;333.239021200203;261.255964733234;388.625446134073;6.57496821947183;8.76097879979676;13.5440352667664;8.97455386592659;951.314879522022;482.700735445887;630.079360080935;489.314316160891;1851.31487952202;1242.70073544589;1310.07936008093;1078.31431616089;0;277.299264554113;49.9206399190655;99.6856838391094;n_floor;=93
