n_min;n_max;avg;an rm;an rm-1;an fa;an tr;ar rm;ar rm-1;ar fa;ar tr;cn rm;cn rm-1;cn fa;cn tr;it rm;it rm-1;it fa;it tr;sd cr rm;sd cr rm-1;sd cr fa;sd cr tr;cr_up rm;cr_up rm-1;cr_up fa;cr_up tr;cr_down rm;cr_down rm-1;cr_down fa;cr_down tr;sd asp rm;sd asp rm-1;sd asp fa;sd asp tr;asp_up rm;asp_up rm-1;asp_up fa;asp_up tr;asp_down rm;asp_down rm-1;asp_down fa;asp_down tr;sd cn rm;sd cn rm-1;sd cn fa;sd cn tr;cn_up rm;cn_up rm-1;cn_up fa;cn_up tr;cn_down rm;cn_down rm-1;cn_down fa;cn_down tr;sd it rm;sd it rm-1;sd it fa;sd it tr;it_up rm;it_up rm-1;it_up fa;it_up tr;it_down rm;it_down rm-1;it_down fa;it_down tr;a;b
40;42;41;13.7865428571429;12.7408523809524;7.84817619047619;10.1047619047619;15.791244310498;3.90261828489316;3.1168034632537;14.9264914197329;159.285714285714;124.952380952381;108.142857142857;178.857142857143;690.476190476191;842.857142857143;376.190476190476;945.095238095238;11.6284042825132;10.029603268057;7.67974772788174;10.2057864072533;25.4149471396561;22.7704556490094;15.5279239183579;20.3105483120152;2.15813857462965;2.71124911289541;0.168428462594447;0;12.4881540784495;1.35040137570079;0.798095913281499;33.2353757849363;28.2793983889475;5.25301966059395;3.9148993765352;48.1618672046692;3.30309023204853;2.55221690919237;2.3187075499722;1;184.888653750614;154.674004341543;139.831786698978;331.853022543759;344.174368036328;279.626385293924;247.974643841835;510.710165400902;0;0;0;0;588.136686412914;786.49312048576;353.418677922888;773.390839405401;1278.6128768891;1629.3502633429;729.609154113364;1718.48607750064;102.339504063277;56.3640223713826;22.7717982675885;171.704398689837;n_floor;=39
43;45;44;19.5049727272727;21.2157363636364;15.4453363636364;17.85;12.3088169364656;3.17620528485864;2.55392928372158;6.51272969183127;185.727272727273;191.272727272727;151.909090909091;289.181818181818;381.818181818182;790.909090909091;345.454545454545;1279.27272727273;12.5997056606169;13.1224848512218;11.5155203868755;11.3720947938364;32.1046783878896;34.3382212148582;26.9608567505119;29.2220947938364;6.90526706665582;8.09325151241457;3.92981597676085;6.47790520616364;9.8873359492328;1.52448478421232;1.07326238854802;7.5625125156344;22.1961528856984;4.70069006907096;3.6271916722696;14.0752422074657;2.42148098723281;1.65172050064633;1.48066689517356;1;451.955548900352;503.34920103425;383.529778386361;812.614892576037;637.682821627624;694.621928306978;535.438869295451;1101.79671075786;0;0;0;0;499.636231308703;872.301032275608;238.174878455459;968.642461479889;881.454413126885;1663.2101231847;583.629423910005;2247.91518875262;0;0;107.279666999086;310.630265792838;n_floor;=42
46;48;47;22.4877470588235;20.5692529411765;16.0274588235294;19.6423529411765;22.9016403582918;2.59102985831623;2.54658059053173;4.67374363658771;77.2941176470588;59.5294117647059;57.2352941176471;54.4117647058824;535.294117647059;617.647058823529;370.588235294118;1503.05882352941;12.6808559817603;9.95729333925124;10.8324439516239;10.3729230025893;35.1686030405839;30.5265462804277;26.8599027751533;30.0152759437658;9.80689107706319;10.6119596019252;5.1950148719055;9.26942993858713;15.0379231491001;0.978983359121023;0.621860067826626;2.06632359688304;37.9395635073919;3.57001321743726;3.16844065835836;6.74006723347075;7.86371720919169;1.61204649919521;1.92472052270511;2.60742003970467;133.10370238365;131.188851301787;133.371440632808;125.630937085342;210.397820030709;190.718263066493;190.606734750455;180.042701791224;0;0;0;0;467.628560492444;455.844400697276;291.0427500436;990.649059366398;1002.9226781395;1073.49145952081;661.630985337717;2493.70788289581;67.6655571546149;161.802658126253;79.545485250518;512.409764163014;n_floor;=45
49;51;50;17.05215;16.9920375;13.1173375;16.82875;24.0537712230384;3.71023185340547;2.87570725566651;4.94184499221571;97.75;80.625;63.125;92.375;475;737.5;262.5;637;17.2127351546962;11.5754720160392;16.7070111227881;17.5326523439634;34.2648851546962;28.5675095160392;29.8243486227881;34.3614023439634;0;5.41656548396078;0;0;28.6911739763037;1.93856738712852;0.94524972723346;1.90166058294122;52.7449451993421;5.64879924053399;3.82095698289997;6.84350557515694;1;1.77166446627695;1.93045752843305;3.04018440927449;111.274114561422;83.3871135984795;66.659984784191;124.539078777937;209.024114561422;164.012113598479;129.784984784191;216.914078777937;0;0;0;0;345.377640106759;447.013901988997;168.501801601221;429.871741669203;820.377640106759;1184.513901989;431.001801601221;1066.8717416692;129.622359893241;290.486098011003;93.9981983987793;207.128258330797;n_floor;=48
52;54;53;13.76074;11.84938;7.11446;14.064;17.4966106294072;3.49572936824892;3.22897222532918;42.4335896123785;423.2;391.6;382;576.8;300;220;680;671.2;8.9155655198086;8.05123201392184;4.30316684117639;8.4920627647233;22.6763055198086;19.9006120139218;11.4176268411764;22.5560627647233;4.8451744801914;3.79814798607816;2.81129315882361;5.5719372352767;11.9823800365298;0.987335357591983;1.19220689123948;79.5321235619595;29.478990665937;4.48306472584091;4.42117911656866;121.965713174338;5.5142305928774;2.50839401065694;2.0367653340897;1;603.420831592679;664.881794005521;662.423203096027;1089.09375170368;1026.62083159268;1056.48179400552;1044.42320309603;1665.89375170368;0;0;0;0;200;130.384048104053;349.28498393146;138.64234562355;500;350.384048104053;1029.28498393146;809.842345623551;100;89.615951895947;330.71501606854;532.55765437645;n_floor;=51
55;57;56;10.1039777777778;11.2666296296296;5.89914074074074;11.11;18.2789781322091;4.16265713513934;3.24488548879574;117.488187130371;314.185185185185;280.296296296296;269.259259259259;416.888888888889;270.37037037037;470.37037037037;311.111111111111;1314.48148148148;9.32646439008305;7.66896406417124;3.47427842937419;9.21624109927686;19.4304421678608;18.9355936938009;9.37341917011493;20.3262410992769;0.77751338769473;3.59766556545839;2.42486231136655;1.89375890072314;13.8523248831321;1.3584762952005;0.870031853365923;495.30957856928;32.1313030153412;5.52113343033984;4.11491734216166;612.797765699651;4.42665324907707;2.80418083993883;2.37485363542982;1;443.46355648004;466.489987922473;455.627428143163;803.962079728283;757.648741665226;746.786284218769;724.886687402423;1220.85096861717;0;0;0;0;275.701643106087;420.452882949596;386.635719362787;1259.99234949968;546.072013476457;890.823253319967;697.746830473898;2574.47383098116;0;49.9174874207743;0;54.4891319818025;n_floor;=54
58;60;59;9.26540714285714;11.6564928571429;5.29482142857143;11.4778571428571;50.3580501002717;4.06763324059005;3.13917712488391;6.75714003939408;222;158.071428571429;144.142857142857;175.714285714286;428.571428571429;557.142857142857;378.571428571429;745.5;5.03655721996138;5.18754644590355;2.71795893560947;5.69116208029396;14.3019643628185;16.8440393030464;8.01278036418089;17.1690192231511;4.22884992289577;6.4689464112393;2.57686249296196;5.78669506256319;65.6982591217914;1.00265091149288;0.69306396381708;3.21057034601547;116.056309222063;5.07028415208293;3.83224108870099;9.96771038540955;1;3.06498232909717;2.44611316106683;3.5465696933786;114.7498952572;84.9474627553492;74.8782161429294;122.820336935034;336.7498952572;243.018891326778;219.021073285787;298.534622649319;107.2501047428;73.1239658160794;69.2646409999277;52.8939487792522;351.761657569815;625.993715518081;254.735372278979;386.886934387813;780.333086141243;1183.13657266094;633.306800850407;1132.38693438781;76.8097710016136;0;123.83605629245;358.613065612187;n_floor;=57
61;63;62;11.0689409090909;13.1330318181818;8.43268181818182;13.8240909090909;43.5707313234394;4.30950863033232;3.20384989899232;15.5462734213118;213.090909090909;158;149.5;175.772727272727;254.545454545455;359.090909090909;595.454545454546;1189.31818181818;5.85734286862462;5.78120711735026;4.56376872568697;4.65871396426801;16.9262837777155;18.9142389355321;12.9964505438688;18.4828048733589;5.21159804046629;7.35182470083156;3.86891309249485;9.1653769448229;56.2443192083733;1.30374171935722;0.461193929737966;31.4077797822717;99.8150505318127;5.61325034968954;3.66504382873029;46.9540532035836;1;3.0057669109751;2.74265596925435;1;103.751492974185;78.0427233421968;77.4466021880637;86.7749864211932;316.842402065094;236.042723342197;226.946602188064;262.54771369392;109.339416116724;79.9572766578032;72.0533978119363;88.9977408515341;238.501817358101;255.713922948303;348.43496725634;1260.65007366244;493.047271903555;614.804832039212;943.889512710885;2449.96825548062;16.0436371873537;103.376986142607;247.019578198206;0;n_floor;=60
64;66;65;6.19121111111111;6.99823333333333;4.69818888888889;8.77555555555556;21.385115804028;4.26985465338396;3.17500684167893;21.1444641555647;384.888888888889;313.222222222222;313.777777777778;386.333333333333;277.777777777778;477.777777777778;377.777777777778;1006.33333333333;5.27127219972666;5.58698366629973;3.87333089680072;9.20603349862349;11.4624833108378;12.5852169996331;8.57151978568962;17.981589054179;0.919938911384454;1.4112496670336;0.824857992088165;0;13.7468213608149;1.19380308100612;1.23000304411552;33.0843349207128;35.1319371648428;5.46365773439008;4.40500988579445;54.2287990762775;7.63829444321312;3.07605157237784;1.9450037975634;1;334.680237108663;309.105474627099;318.899191664771;373.135699176586;719.569125997552;622.327696849322;632.676969442549;759.46903250992;50.2086517802256;4.11674759512272;0;13.1976341567469;281.858908754796;494.413232473044;341.971408811386;989.315419873763;559.636686532574;972.191010250822;719.749186589164;1995.6487532071;0;0;35.8063689663913;17.0179134595704;n_floor;=63
67;69;68;2.9423;10.2705;4.0805;8.51;11.5489374613453;5.1003980270813;2.43148181864385;4.45122546626306;118;52;61;55;200;400;200;1994;0;0;0;0;2.9423;10.2705;4.0805;8.51;2.9423;10.2705;4.0805;8.51;0;0;0;0;11.5489374613453;5.1003980270813;2.43148181864385;4.45122546626306;11.5489374613453;5.1003980270813;2.43148181864385;4.45122546626306;0;0;0;0;118;52;61;55;118;52;61;55;0;0;0;0;200;400;200;1994;200;400;200;1994;n_floor;=66
70;72;71;5.8452;12.3531;5.6302;3.07;14.236367724641;5.43678182267725;2.93105383130126;5.41114058355438;154;85;69;144;200;1000;200;2684;0;0;0;0;5.8452;12.3531;5.6302;3.07;5.8452;12.3531;5.6302;3.07;0;0;0;0;14.236367724641;5.43678182267725;2.93105383130126;5.41114058355438;14.236367724641;5.43678182267725;2.93105383130126;5.41114058355438;0;0;0;0;154;85;69;144;154;85;69;144;0;0;0;0;200;1000;200;2684;200;1000;200;2684;n_floor;=69
73;75;74;12.1798857142857;14.2929428571429;6.09665714285714;14.1757142857143;38.2264786454123;3.53413359369511;3.22922230162036;6.32666555619156;137;55.8571428571429;38.4285714285714;46.4285714285714;385.714285714286;914.285714285714;571.428571428571;1516.14285714286;5.40285313836698;6.08612653851833;3.43672159276693;8.54786495202722;17.5827388526527;20.3790693956612;9.53337873562407;22.7235792377415;6.77703257591874;8.20681631862453;2.65993555009021;5.62784933368707;36.0237640423132;1.24977981347263;0.580491905616833;2.1005989860845;74.2502426877255;4.78391340716774;3.80971420723719;8.42726454227606;2.20271460309913;2.28435378022249;2.64873039600353;4.22606657010706;103.226288641347;56.5373875455542;39.9368549206417;49.3215880484302;240.226288641347;112.394530402697;78.3654263492131;95.7501594770016;33.7737113586531;0;0;0;338.765264987284;612.178000880385;534.522483824849;913.722318973591;724.47955070157;1526.4637151661;1105.95105525342;2429.86517611645;46.9490207270018;302.107713405329;36.9060876037227;602.420538169266;n_floor;=72
76;78;77;16.0933;15.60825;13.0552;19.055;21.2699907730421;3.87372999198517;2.96655374032687;5.47668272688048;103;56.5;52;60;250;250;650;1032.5;3.64867099092259;3.63389245919579;9.56602337860409;16.7937860531805;19.7419709909226;19.2421424591958;22.6212233786041;35.8487860531805;12.4446290090774;11.9743575408042;3.48917662139591;2.2612139468195;8.63249333180222;0.346938234281987;0.017632923716044;0.848228128074727;29.9024841048443;4.22066822626716;2.98418666404291;6.32491085495521;12.6374974412399;3.52679175770318;2.94892081661083;4.62845459880576;42.4264068711929;2.12132034355964;9.89949493661167;8.48528137423857;145.426406871193;58.6213203435596;61.8994949366117;68.4852813742386;60.5735931288072;54.3786796564404;42.1005050633883;51.5147186257614;70.7106781186548;70.7106781186548;494.974746830583;103.944696834423;320.710678118655;320.710678118655;1144.97474683058;1136.44469683442;179.289321881345;179.289321881345;155.025253169417;928.555303165578;n_floor;=75
79;81;80;9.74434285714286;11.1671857142857;5.83027142857143;10.7814285714286;41.649344833484;3.65543231009451;3.43186670246092;5.83257326627226;135.142857142857;83.4285714285714;81.8571428571429;81.1428571428571;271.428571428571;400;271.428571428571;2614.42857142857;7.89071667063205;5.50845734709473;4.25267712455511;6.08728573496001;17.6350595277749;16.6756430613804;10.0829485531265;16.8687143063886;1.85362618651081;5.65872836719098;1.57759430401632;4.69414283646857;37.2402002059568;1.68265483687753;1.73423589634654;3.54704307051174;78.8895450394407;5.33808714697204;5.16610259880746;9.379616336784;4.40914462752716;1.97277747321697;1.69763080611438;2.28553019576053;113.156865414681;113.294391068663;120.352854240394;101.07823466904;248.299722557538;196.722962497234;202.209997097537;182.221091811897;21.9859917281763;0;0;0;249.761791275112;294.392028877595;256.347977784662;2787.01428396907;521.190362703683;694.392028877595;527.776549213234;5401.44285539764;21.6667801534599;105.607971122405;15.0805936439091;0;n_floor;=78
82;84;83;2.4238;4.79506666666667;1.8949;3.52;29.4741733585496;5.43074389065795;3.93464506482111;12.490872955087;349;228;170;210.666666666667;366.666666666667;666.666666666667;400;314;1.5309089195638;1.6715079908075;0.851583401670089;1.33292910539158;3.9547089195638;6.46657465747417;2.74648340167009;4.85292910539158;0.892891080436201;3.12355867585917;1.04331659832991;2.18707089460842;2.98053051804539;1.31365282053894;0.707098899224582;4.7807070138728;32.454703876595;6.7443967111969;4.6417439640457;17.2715799689598;26.4936428405042;4.11709107011901;3.22754616559653;7.71016594121417;100.682669809655;105.773342577419;61.9435226637943;94.3468777084506;449.682669809655;333.773342577419;231.943522663794;305.013544375117;248.317330190345;122.226657422581;108.056477336206;116.319788958216;208.166599946613;493.288286231625;173.205080756888;175.519229715721;574.83326661328;1159.95495289829;573.205080756888;489.519229715721;158.500066720053;173.378380435042;226.794919243112;138.480770284279;n_floor;=81
85;87;86;4.75257272727273;6.5968;2.68891818181818;7.40454545454546;22.2548600461329;5.72445926604217;4.2717947495955;18.8897131675594;401.090909090909;264.272727272727;234.545454545455;565.363636363636;390.909090909091;745.454545454546;545.454545454546;980.636363636364;6.05473460493372;6.71750956902928;2.52166920503788;6.66809322615748;10.8073073322064;13.3143095690293;5.21058738685606;14.0726386807029;0;0;0.167248976780304;0.736452228387975;13.6811499614505;1.52820485118135;1.71846356417324;27.7373179461813;35.9360100075834;7.25266411722352;5.99025831376874;46.6270311137407;8.57371008468245;4.19625441486082;2.55333118542226;1;374.021243927522;224.483892922896;199.603789361006;926.329776346121;775.112153018431;488.756620195623;434.14924390646;1491.69341270976;27.069665163387;39.7888343498314;34.9416651844489;0;317.661912902839;672.85011163503;564.559361561982;795.231572905311;708.57100381193;1418.30465708958;1110.01390701653;1775.86793654167;73.2471780062519;72.6044338195153;0;185.404790731053;n_floor;=84
88;90;89;9.8745;12.0218;3.95835;7.29;80.3032987914675;4.48271751666727;2.83633451791794;6.09723959661972;124.5;78.5;71.5;198;600;400;550;2193.5;3.80055752752146;2.23700301296176;0.867125045769063;0.650538238691624;13.6750575275215;14.2588030129618;4.82547504576906;7.94053823869162;6.07394247247854;9.78479698703824;3.09122495423094;6.63946176130838;71.2950053868634;1.38915857325695;0.701736594664092;0.581745534173715;151.598304178331;5.87187608992422;3.53807111258203;6.67898513079343;9.00829340460416;3.09355894341032;2.13459792325384;5.515494062446;62.9325035256027;38.8908729652601;27.5771644662754;101.823376490863;187.432503525603;117.39087296526;99.0771644662754;299.823376490863;61.5674964743973;39.6091270347399;43.9228355337247;96.1766235091372;565.685424949238;141.42135623731;353.553390593274;1431.89123190276;1165.68542494924;541.42135623731;903.553390593274;3625.39123190276;34.314575050762;258.57864376269;196.446609406726;761.608768097241;n_floor;=87
91;93;92;6.18235;3.0416;2.7747;6.54;10.5348462317873;5.37438600830986;3.76011327415258;7.99898455385175;489.5;425.5;453;499.5;250;50;150;539;7.27011837076949;4.07222795285333;0.978070099737233;0.565685424949239;13.4524683707695;7.11382795285333;3.75277009973723;7.10568542494924;0;0;1.79662990026277;5.97431457505076;3.34373971627569;2.05069592768626;0.482248787162094;3.62439899958476;13.878585948063;7.42508193599612;4.24236206131468;11.6233835534365;7.1911065155116;3.32369008062359;3.27786448699049;4.37458555426698;446.184378928712;464.569155239562;504.874241767195;570.635172417544;935.684378928712;890.069155239562;957.874241767195;1070.13517241754;43.3156210712885;0;0;0;212.132034355964;70.7106781186548;70.7106781186548;144.249783362056;462.132034355964;120.710678118655;220.710678118655;683.249783362056;37.8679656440357;0;79.2893218813452;394.750216637944;n_floor;=90
94;96;95;9.02206;6.76236;10.05;9.762;42.7079443835095;4.316649454053;2.93883271597279;15.1061805418692;263.8;147.6;142.6;176.4;380;760;480;491.8;8.70003172511457;4.25879711690989;11.2021267944976;8.27785419054963;17.7220917251146;11.0211571169099;21.2521267944976;18.0398541905496;0.322028274885429;2.50356288309011;0;1.48414580945037;25.167019839586;1.46297369022796;0.959598826739793;14.663477715423;67.8749642230954;5.77962314428096;3.89843154271258;29.7696582572922;17.5409245439235;2.85367576382504;1.979233889233;1;271.004981504031;136.193979308925;136.681381321671;159.446856350321;534.804981504031;283.793979308925;279.281381321671;335.846856350321;0;11.4060206910746;5.9186186783291;16.9531436496787;192.353840616713;920.869154657707;376.828873628335;438.60882344066;572.353840616713;1680.86915465771;856.828873628336;930.40882344066;187.646159383287;0;103.171126371665;53.1911765593401;n_floor;=93
