n;crossing resolution rm1000;crossing resolution rm;crossing resolution rm100;crossing resolution rm10k;crossing resolution rm1M;Aspect ratio rm1M;Crossing number rm1M;angular resolution rm10k;Aspect ratio rm1000;Aspect ratio rm;Aspect ratio rm100;Aspect ratio rm10k;Crossing number rm1000;Crossing number rm;Crossing number rm100;Crossing number rm10k;Time fa;Time rm;Time tr;Time rm10k;Iterations rm;Iterations rm10k;Iterations rm100;Iterations rm1000;Iterations rm1M;a;b;sd cr rm;sd cr rm10k;sd cr rm100;sd cr rm1000;sd cr rm1M;cr_up rm;cr_up rm10k;cr_up rm100;cr_up rm1000;cr_up rm1M;cr_down rm;cr_down rm10k;cr_down rm100;cr_down rm1000;cr_down rm1M;sd asp rm;sd asp rm10k;sd asp rm100;sd asp rm1000;sd asp rm1M;asp_up rm;asp_up rm10k;asp_up rm100;asp_up rm1000;asp_up rm1M;asp_down rm;asp_down rm10k;asp_down rm100;asp_down rm1000;asp_down rm1M;sd cn rm;sd cn rm10k;sd cn rm100;sd cn rm1000;sd cn rm1M;cn_up rm;cn_up rm10k;cn_up rm100;cn_up rm1000;cn_up rm1M;cn_down rm;cn_down rm10k;cn_down rm100;cn_down rm1000;cn_down rm1M;sd it rm;sd it rm10k;sd it rm100;sd it rm1000;sd it rm1M;it_up rm;it_up rm10k;it_up rm100;it_up rm1000;it_up rm1M;it_down rm;it_down rm10k;it_down rm100;it_down rm1000;it_down rm1M
57;49.3514761904762;74.1288257142857;32.1952752380952;60.9291647619048;62.936900952381;95.4003164643077;120.304761904762;8.52951142857143;97.1964715866296;49.8522067583442;33.0868653547352;92.3812757898976;177.72380952381;33.7619047619048;552.409523809524;130.552380952381;134.038095238095;554.914285714286;1791.12380952381;3487.80952380952;1316.19047619048;3959.04761904762;239.047619047619;2531.42857142857;5075.2380952381;n;=57;13.2551462225274;11.6471989419046;12.7198135055101;11.0916787701804;11.878929064075;87.3839719368131;72.5763637038094;44.9150887436054;60.4431549606566;74.815830016456;60.8736794917583;49.2819658200002;19.4754617325851;38.2597974202958;51.0579718883059;64.0524871607937;92.3448340663497;25.6875792602678;139.869737618367;111.1618764844;113.904693919138;100.874345494921;58.774444615003;237.066209204997;206.562192948708;1;1;7.39928609446742;1;1;64.0524871607937;92.3448340663497;25.6875792602678;139.869737618367;111.1618764844;97.8143919226985;222.897215018731;578.097103069792;317.593547142177;231.466638389162;0;38.2075468860313;526.721944549256;37.8540719054423;9.14288542036164;728.819357370299;1496.83610158839;272.627965047622;1319.98792868273;2318.51995862335;2045.00983356078;5455.88372063601;511.675584095241;3851.4165001113;7393.75805386144;587.371118820177;2462.21151745923;0;1211.44064274584;2756.71813661475
58;49.5949018867925;74.0691811320755;32.8084867924528;60.5781650943396;62.9474283018868;70.0180046584871;121.537735849057;9.03399433962265;102.816613028308;50.384471186639;29.8643366977096;109.204280943545;188.924528301887;32.2169811320755;579.38679245283;137.103773584906;127.311320754717;567.556603773585;1913.8679245283;3555.34905660377;1357.54716981132;3924.52830188679;200.943396226415;2578.30188679245;5223.58490566038;n;=58;12.8553138322686;11.6350570437715;14.0841339416622;11.6420764040325;11.2811104459223;86.9244949643441;72.2132221381112;46.892620734115;61.2369782908249;74.228538747809;61.2138672998069;48.9431080505681;18.7243528507906;37.95282548276;51.6663178559645;67.7184894355368;188.48801950891;22.8851169619535;115.609022621018;51.2117676664802;118.102960622176;197.522013848532;52.7494536596632;218.425635649326;121.229772324967;1;1;6.97921973575609;1;18.8062369920069;67.7184894355368;188.48801950891;22.8851169619535;115.609022621018;51.2117676664802;99.9354705676123;325.591793093815;602.271909414784;304.533550922904;172.749503515537;0;0;556.501675490877;73.3155056808693;70.3259681825764;757.055462924807;1652.98064522156;230.731872019231;1270.09596315218;1897.39429779205;2114.60263273613;5577.50894710835;431.675268245646;3848.39784994463;7120.97920345243;600.491706886513;2271.54765666523;0;1308.20592364028;3326.19060786832
59;48.6613916666667;72.4387425925926;29.7318222222222;59.6768166666667;62.7686166666667;84.7470079495799;130.898148148148;8.99123518518518;87.2844623490453;40.5917954181426;30.2850532357773;74.1654079099465;195.407407407407;34.7962962962963;582.833333333333;133.712962962963;112.388888888889;607.101851851852;1950.18518518519;3733.13888888889;1430.55555555556;3990.74074074074;199.074074074074;2557.40740740741;5480.55555555556;n;=59;14.8430530360839;10.1976591636897;11.5867502202964;10.7360848889889;11.8775907042648;87.2817956286766;69.8744758303564;41.3185724425186;59.3974765556555;74.6462073709315;57.5956895565087;49.479157502977;18.1450720019258;37.9253067776778;50.8910259624019;43.7551545817702;54.3769685131344;22.2094811047268;99.6073869740788;69.3677890455619;84.3469499999128;63.3682036983196;52.494534340504;186.891849323124;154.114796995142;1;1;8.07557213105046;1;15.3792189040181;43.7551545817702;54.3769685131344;22.2094811047268;99.6073869740788;69.3677890455619;78.5514508780665;188.089931476097;605.04281443806;295.014794381486;200.26593719371;0;79.3359944498286;560.623852228607;95.8000204333286;61.5303591025863;946.361288553964;1463.35531979405;293.064813848331;1232.51916659311;1992.01482247485;2376.91684410952;5454.09606053479;492.138887922405;3789.92657400052;7472.5703780304;484.194267001591;2527.38542094669;0;1324.88824081429;3488.54073308071
60;48.5753968253968;72.1172190476191;30.6454126984127;60.0927023809524;61.5033317460317;98.5973768420529;132.079365079365;8.41355317460317;116.20326689164;47.305129943912;32.9917243013171;117.77118164035;201.936507936508;35.6587301587302;616.357142857143;133.261904761905;121.968253968254;593.984126984127;2183.84126984127;4009.19841269841;1382.53968253968;4153.96825396825;195.238095238095;2792.85714285714;5001.5873015873;n;=60;13.7730823201705;11.562415550695;11.8417254727036;10.8437103502072;11.0834030422043;85.8903013677896;71.6551179316474;42.4871381711163;59.419107175604;72.5867347882361;58.3441367274485;48.5302868302573;18.8036872257091;37.7316864751897;50.4199287038274;61.4801034124935;258.415361938207;26.8941779672751;140.454839961003;120.666598942676;108.785233356406;266.82891511281;59.8859022685922;256.658106852643;219.263975784729;1;1;6.09754633404197;1;1;61.4801034124935;258.415361938207;26.8941779672751;140.454839961003;120.666598942676;97.1388335712237;391.677266700112;643.251320824418;342.391347897511;252.745964022041;0;0;589.462964889868;61.481667975505;11.4127661366893;929.953062478262;1765.43029513604;235.238480817112;1413.20507055012;1874.62995290203;2312.49274501794;5919.39854910429;430.476576055208;4206.06221340726;6876.21725448933;452.58662006142;2388.53795883221;0;1379.65207230702;3126.95734868527
61;45.9201320754717;71.0202025157233;29.1598761006289;57.7607981132075;60.8149911949685;85.2928578287725;146.748427672956;7.77297169811321;110.453554857817;54.9232731612608;31.6469758344916;93.2891838606035;229.534591194969;40.5723270440252;657.081761006289;158.899371069182;140.792452830189;576.251572327044;2047.16352201258;4161.50943396226;1290.56603773585;4211.32075471698;225.157232704402;2553.45911949686;5193.7106918239;n;=61;12.8215590572323;9.93926956288693;12.6580971930686;10.9411951000858;11.4974871414043;83.8417615729556;67.7000676760945;41.8179732936976;56.8613271755575;72.3124783363729;58.198643458491;47.8215285503206;16.5017789075603;34.9789369753859;49.3175040535642;77.8707316133551;111.980335787013;23.59460528349;168.523703135694;71.4209016834434;132.794004774616;119.753307485126;55.2415811179816;278.977257993511;156.713759512216;1;1;8.05237055100156;1;13.8719561453291;77.8707316133551;111.980335787013;23.59460528349;168.523703135694;71.4209016834434;118.44305865738;270.879706856195;680.676366289779;398.058294330662;218.169329356399;0;46.9190352821697;633.487155722799;61.0108880592748;75.3275259895126;797.289113645733;1617.27153932427;260.711915664606;1446.28637823744;2098.48304265915;2087.85515138158;5828.59229404125;485.869148369009;3999.74549773429;7292.19373448305;493.276924090116;2594.04921539271;0;1107.17274125942;3095.22764916475
62;45.2256127516779;70.3347369127517;28.8157906040269;57.1299610738255;60.4507577181208;97.1208058126785;146.281879194631;8.20750738255034;117.32615175277;52.2373198123805;27.8013891791356;95.7620081997417;244.026845637584;45.0805369127517;675.194630872483;161.93288590604;133.510067114094;626.630872483221;2107.06711409396;4131.26174496644;1348.32214765101;4055.70469798658;213.422818791946;2573.15436241611;5523.48993288591;n;=62;14.7087773588727;9.89097522549963;12.3461195608139;12.0972731885112;11.1285305764737;85.0435142716244;67.0209362993251;41.1619101648407;57.322885940189;71.5792882945946;55.625959553879;47.2389858483259;16.469671043213;33.1283395631667;49.3222271416471;58.7058931325632;93.6503532335325;19.4215818675478;156.835041990982;112.039748196008;110.943212944944;101.857860616083;47.2229710466833;274.161193743752;209.160554008687;1;1;8.37980731158781;1;1;58.7058931325632;93.6503532335325;19.4215818675478;156.835041990982;112.039748196008;103.786430045315;255.583239139573;694.616212740031;400.861887628566;258.321627390639;0;68.2825326725078;655.773049004936;87.1918036466017;34.2421309986224;715.523247100541;1488.12336701322;252.195151302814;1536.08095896594;2200.44188626521;2063.84539475155;5543.82806499979;465.617970094761;4109.23532138205;7723.93181915112;632.798900550465;2567.58133097336;0;1037.07340345016;3323.0480466207
63;46.5475229508197;68.9878655737705;28.0130352459016;56.5219647540984;57.9997516393443;104.449202800148;158.204918032787;7.40423524590164;107.860223664537;47.2349264477032;33.1796635233346;85.7374993329916;243.909836065574;45.516393442623;674.5;162.336065573771;154.286885245902;627.909836065574;2388.5737704918;4361.48360655738;1368.03278688525;4303.27868852459;236.065573770492;2905.73770491803;5343.44262295082;n;=63;14.0530698908043;10.1683227842947;11.6109387143938;11.5456130405355;9.17409586845892;83.0409354645748;66.6902875383931;39.6239739602954;58.0931359913552;67.1738475078032;54.9347956829662;46.3536419698036;16.4020965315078;35.0019099102842;48.8256557708854;55.7528324645792;70.4874946756751;24.5017576465954;123.281195733576;125.85495030562;102.987758912282;77.8917299215767;57.6814211699301;231.141419398114;230.304153105768;1;1;8.6779058767392;1;1;55.7528324645792;70.4874946756751;24.5017576465954;123.281195733576;125.85495030562;101.269225907202;232.823560249446;699.001757646596;367.19103179915;284.059868338407;0;91.8485708980954;649.998242353405;120.628640331997;32.3499677271672;817.602460881878;1801.83260365889;275.760578203249;1700.3791108795;2068.81559539632;2185.63524776712;6105.11129218348;511.826151973741;4606.11681579753;7412.25821834714;550.430326003368;2501.4460848657;0;1205.35859403854;3274.6270275545
64;44.4344917355372;71.6148826446281;30.3868628099173;58.2507132231405;58.9512008264463;101.326445477426;151.96694214876;8.43837024793388;95.6121853069024;46.403356258461;33.5203621024332;99.1186623416487;258.98347107438;42.7603305785124;722.719008264463;156.512396694215;143.760330578512;626.123966942149;2129.7520661157;4767.37190082645;1298.34710743802;4470.2479338843;218.181818181818;2461.98347107438;5539.6694214876;n;=64;12.437301629565;10.7416165086076;13.1544021642575;10.574193115573;8.53926035720206;84.0521842741931;68.992329731748;43.5412649741748;55.0086848511102;67.4904611836483;59.1775810150631;47.5090967145329;17.2324606456598;33.8602986199642;50.4119404692442;56.3451365708049;83.0599033381511;25.7839879927238;97.9538609042726;96.2784880642015;102.748492829266;91.498273586085;59.3043500951571;193.566046211175;197.604933541627;1;1;7.73637410970941;1;5.04795741322418;56.3451365708049;83.0599033381511;25.7839879927238;97.9538609042726;96.2784880642015;99.1054671493173;239.572300032366;748.502996257187;356.937331978653;248.245430212962;0;73.4524933560638;696.935020271739;161.029610170108;55.6884540845589;783.473406384924;1534.96170571664;255.277626647277;1358.38483736796;2204.55888780662;2081.82051382294;6005.20963960094;473.459444829095;3820.36830844234;7744.22830929422;514.873701053093;2935.28622816766;0;1103.59863370642;3335.11053368098
65;42.1570990654206;68.5346887850467;27.1186560747664;56.116229906542;59.0353495327103;99.2136482501706;169.056074766355;8.03565981308411;95.1622094489268;45.785924392619;29.4042072428549;100.119980377413;268.953271028037;50.588785046729;768.140186915888;180.355140186916;143.728971962617;672.738317757009;2110.55140186916;4598.17757009346;1353.27102803738;4169.15887850467;200.934579439252;2348.59813084112;5482.24299065421;n;=65;15.104846249549;10.142833660072;12.9656216124853;10.1356008948423;10.6604608400368;83.6395350345957;66.2590635666141;40.0842776872517;52.2926999602628;69.6958103727471;53.4298425354977;45.97339624647;14.153034462281;32.0214981705783;48.3748886926735;46.6341746429179;118.755051219786;23.5779740977779;100.654450236251;85.2273369958204;92.4200990355369;126.79071103287;52.9821813406328;195.816659685178;184.440985245991;1;1;5.82623314507703;1;13.9863112543502;46.6341746429179;118.755051219786;23.5779740977779;100.654450236251;85.2273369958204;97.2229596896469;299.110191406702;791.718161013666;369.607721264288;254.283411762176;3.95461040381103;61.6000889671297;744.56221281811;168.298820791786;83.8287377705348;749.882727562186;1536.56141561392;232.092746223542;1219.13706613908;1918.61846345829;2103.15375559957;5705.72029411859;433.027325662795;3567.7351969802;7400.8614541125;603.388300475198;2632.59746289076;0;1129.46106470204;3563.62452719592
66;43.3512474226804;67.6994463917526;28.2917288659794;54.7091907216495;58.240987628866;95.8349001490744;168.958762886598;7.98730103092784;103.263629502819;56.3728072110322;32.8114283807162;105.794332375397;269.072164948454;51.8865979381443;753.443298969072;182.237113402062;134.061855670103;685.876288659794;2217.50515463918;4736.12371134021;1334.0206185567;4301.03092783505;207.216494845361;2479.38144329897;5802.0618556701;n;=66;15.3821070777534;8.82701417005493;13.4187331907592;10.5327582162063;9.85189809528323;83.081553469506;63.5362048917044;41.7104620567386;53.8840056388867;68.0928857241492;52.3173393139992;45.8821765515946;14.8729956752202;32.8184892064741;48.3890895335828;73.2865859219737;100.357889217227;20.578722297491;123.449191490179;69.8508805714032;129.659393133006;108.345190248155;53.3901506782072;226.712820992997;165.685780720478;1;1;12.2327060832253;1;25.9840195776713;73.2865859219737;100.357889217227;20.578722297491;123.449191490179;69.8508805714032;125.173183860118;282.595002619289;774.022021266563;392.521356438632;238.809643458001;0;81.879224184835;732.864576671581;145.622973458275;99.1078823151948;767.556539440003;1592.33154821795;268.579373230868;1440.04760803317;1951.44067408347;2101.5771579967;5893.362476053;475.795868076229;3919.42905133214;7753.50252975357;566.464079116698;2708.6993796171;0;1039.3338352658;3850.62118158663
