Nodes;Mixed Old;Lin Yen ;Eades;Huang et al.;Angular Only OLD;Crossing Only;Mixed;Angular Only;sd cr;cr_up;cr_down;sd ar;ar_up;ar_down;sd tr;tr_up;tr_down;a;b
42;4.0617370388767;2.06489128851738;1.93003996368196;2.04002776502302;4.12179612904549;452.967816910703;4.1769471108349;4.231119435426;2868.41905728757;3321.38687419827;1;1.08374594995514;5.31486538538113;3.14737348547086;1.2493163188265;5.4262634296614;2.9276307920084;Nodes;=42
43;4.1738937821364;2.07046930648457;1.92249808400077;2.04102190222662;4.13847209107254;471.495243359312;4.2704988762464;4.23768351078602;2766.19980862081;3237.69505198012;1;1.19750828822616;5.43519179901218;3.04017522255987;1.23751496874317;5.50801384498958;3.03298390750323;Nodes;=43
44;4.2072761910625;2.06298620229847;1.96121830569899;2.06763976206354;4.12270815764361;31.8118196958109;4.36125395562214;4.24973152044038;201.315227200672;233.127046896483;1;1.15172902710938;5.40146054754976;3.098002493331;1.17588212267588;5.53713607829803;3.18537183294626;Nodes;=44
45;4.11975552456544;2.0956210528756;1.94900653329563;2.0622281389788;4.14679215119156;126.587810985392;4.26402456995512;4.3043926770817;705.408884866604;831.996695851995;1;1.51065802740026;5.81505070448197;2.79373464968144;1.21655148772204;5.48057605767716;3.04747308223308;Nodes;=45
46;4.6079645862128;2.10758673542526;1.99360085374906;2.10261308175697;4.33512764853234;185.696920520447;4.80648133878183;4.47274843487663;1193.1126925775;1378.80961309795;1;2.98701531071733;7.45976374559396;1.4857331241593;6.16894052532162;10.9754218641034;1;Nodes;=46
47;4.18765540893881;2.12503252207169;1.99085490460775;2.1056150626625;4.11775913451392;585.225847656474;4.38631734831217;4.30406375354094;5086.83116186713;5672.05700952361;1;1.18473070299466;5.4887944565356;3.11933305054628;1.10257435763915;5.48889170595132;3.28374299067302;Nodes;=47
48;4.02061933222845;2.08063785116852;1.98388991852777;2.07930602294675;4.0847126402126;2516.24856179025;4.17830557746405;4.22898739964071;20459.3256020542;22975.5741638445;1;1.19310519508112;5.42209259472183;3.0358822045596;0.877245800985922;5.05555137844997;3.30105977647812;Nodes;=48
49;3.91496919191305;2.09020852998219;2.01935031798057;2.13379033332797;3.98933680314972;509.11160486962;3.99581892855984;4.06332852934773;2294.40133302556;2803.51293789518;1;0.921060931596623;4.98438946094435;3.1422675977511;0.817253327338453;4.81307225589829;3.17856560122138;Nodes;=49
50;4.37368163027418;2.06400305783009;2.00898744353375;2.06586291094105;4.12842587264963;650.99447317662;4.47873539420615;4.19393215350478;2579.33117228636;3230.32564546298;1;1.17190829227878;5.36584044578356;3.022023861226;1.47964964936649;5.95838504357264;2.99908574483965;Nodes;=50
51;4.05213156954253;2.13758376248273;2.05129406329612;2.15305122732206;4.08099157610851;225.091429670093;4.17534000148138;4.21306596365908;841.774412474632;1066.86584214473;1;1.0413176887054;5.25438365236448;3.17174827495369;1.00960806964513;5.18494807112651;3.16573193183626;Nodes;=51
52;4.75566469857027;2.23495400602438;2.10668954041441;2.18441729801141;4.50541702298289;316.872908385003;4.83297188256463;4.5567398163534;991.897090297439;1308.76999868244;1;1.57570368037153;6.13244349672494;2.98103613598187;2.62822435232222;7.46119623488685;2.20474753024241;Nodes;=52
53;4.47974716670499;2.16341473368388;2.08287114911889;2.19017100154439;4.40240710558548;1086.58175637224;4.51886091868201;4.40933194550389;7919.78547047163;9006.36722684386;1;1.29361332392714;5.70294526943103;3.11571862157675;1.16050402837128;5.67936494705329;3.35835689031073;Nodes;=53
54;4.35966423484837;2.19704697617426;2.10929083993129;2.21485575190211;4.38910887147174;942.774901477537;4.38546383061438;4.40863400972149;7080.58884659138;8023.36374806891;1;1.26144149452491;5.67007550424639;3.14719251519658;1.14892748048863;5.534391311103;3.23653635012575;Nodes;=54
55;4.45636124939343;2.23145828522631;2.12914040493606;2.22594930217622;4.24965297909786;1036.14291518995;4.55498458850903;4.33474981666263;3417.26006559104;4453.40298078099;1;1.18826884832649;5.52301866498912;3.14648096833614;1.44671188081827;6.00169646932731;3.10827270769076;Nodes;=55
56;4.47218879564211;2.22520431180448;2.16672363030457;2.2437691908461;4.35750613727658;445.564012448099;4.59179768101494;4.46373186488286;2214.26126297131;2659.82527541941;1;1.14183604687825;5.60556791176111;3.32189581800462;1.61310743311019;6.20490511412512;2.97869024790475;Nodes;=56
57;4.50586491573731;2.24005646843051;2.14570251534485;2.25099621316575;4.47616794112632;2477.55460877343;4.5264604464167;4.49604247195142;13857.7325369939;16335.2871457673;1;1.25350745964345;5.74954993159487;3.24253501230797;1.20833853607891;5.73479898249561;3.3181219103378;Nodes;=57
58;4.27064018193184;2.20855664792585;2.15100143144271;2.25752986758077;4.23717132952149;398.512544160646;4.34505764473609;4.29573079868421;1886.21922634123;2284.73177050187;1;1.23978449486675;5.53551529355096;3.05594630381745;1.91427628886923;6.25933393360531;2.43078135586686;Nodes;=58
59;4.57743596927058;2.23722502083615;2.19203369666387;2.29106648026974;4.32099664892828;1600.02181326977;4.58768351131061;4.33167546999675;8893.69928225729;10493.7210955271;1;1.12558600732119;5.45726147731794;3.20608946267555;1.49524615709629;6.08292966840689;3.09243735421432;Nodes;=59
60;4.58864176285057;2.29410245456646;2.19217885075225;2.30691099047401;4.45414364933906;248.23814406736;4.64783381502446;4.48703254726048;1093.43085566291;1341.66899973027;1;1.19874024780252;5.685772795063;3.28829229945797;1.68230803103244;6.3301418460569;2.96552578399202;Nodes;=60
