graph name;iterations;time[ms];crossing_res;n;m;ang,res;aspect, Ratio;#crossing;
graph_124.txt;100;24;75,7688;24;36;28,249507042595514;2,3126504045855394;4;
graph_1240.txt;100;42;66,1794;34;51;11,7222822721276;2,4439921320046607;16;
graph_1241.txt;100;52;51,7695;36;54;11,850519835763642;2,523449521878883;20;
graph_1242.txt;200;59;74,6976;26;39;34,51107196423012;1,6055898706970426;7;
graph_1243.txt;100;37;54,467;32;48;21,221717003092273;2,306610203059835;11;
graph_1244.txt;600;218;68,451;32;48;20,848562126873045;1,9040392762216114;9;
graph_1245.txt;100;30;62,0262;28;42;19,485116945232882;1,7241397793948845;15;
graph_1246.txt;100;44;61,9749;38;57;5,628923295201104;2,2367553383436722;17;
graph_1247.txt;200;92;46,7851;38;57;22,14692258409379;1,9556986795365907;19;
graph_1248.txt;100;44;63,4779;32;48;18,480390109689164;2,024597613121746;19;
graph_1249.txt;100;44;57,5826;38;57;16,632557453619214;2,1437418418543976;20;
graph_125.txt;100;37;67,7365;34;51;24,1019100082051;2,312593787312968;15;
graph_1251.txt;300;61;74,237;20;30;19,448971794686525;2,151403897830983;8;
graph_1252.txt;100;26;70,161;26;39;25,357921648169466;1,993371596479987;8;
graph_1253.txt;100;35;73,2678;32;48;33,94257763948172;2,0464771376041324;9;
graph_1254.txt;300;108;74,0428;34;51;28,17433921615934;2,0885720665904337;12;
graph_1255.txt;100;62;59,7493;36;54;16,912971222650327;2,1435047732925923;22;
graph_1256.txt;100;19;66,1725;20;30;27,483680165651744;1,6901127715128228;8;
graph_1257.txt;400;145;58,7621;32;48;20,02210461718969;1,8638039633260373;17;
graph_1258.txt;100;50;60,6433;38;57;8,35630048983916;2,2439377231145983;23;
graph_1259.txt;100;35;67,254;32;48;29,292846392141836;2,1873052230847034;11;
graph_126.txt;100;22;54,9801;20;30;26,39924971008409;1,8672162827125256;15;
graph_1260.txt;100;40;66,8511;34;51;24,57116034658027;2,2992781519909578;17;
graph_1261.txt;500;194;74,8127;34;51;34,88366508456138;1,9547729697373393;11;
graph_1262.txt;100;36;58,29;32;48;16,90452047349014;2,592232684550128;11;
graph_1263.txt;100;41;63,4757;34;51;13,642546140418359;2,640211757586152;16;
graph_1264.txt;200;69;65,0266;32;48;29,108640771906753;1,9650628531897085;10;
graph_1265.txt;100;39;64,5836;34;51;33,5634608903053;2,0298863260728197;14;
graph_1266.txt;100;33;59,2097;28;42;19,885079998461006;1,893667954496068;18;
graph_1267.txt;2200;587;77,712;26;39;19,458320116836692;2,2006472210267436;9;
graph_1268.txt;100;26;59,4273;26;39;27,12025443871979;1,7810527455157708;16;
graph_1269.txt;500;188;49,9568;32;48;20,062232145315615;1,8044823431276007;24;
graph_127.txt;300;114;73,4031;32;48;24,061786994864775;2,029564042725753;9;
graph_1271.txt;100;36;59,4223;34;51;18,282300998302038;2,0026742937069355;11;
graph_1272.txt;100;34;64,1495;32;48;32,464848748042044;1,8744914737229008;11;
graph_1273.txt;100;44;60,7857;38;57;21,810655799305188;2,070251377661942;16;
graph_1274.txt;400;171;62,2833;34;51;22,56718628247868;2,0136520312427275;18;
graph_1275.txt;100;43;61,1687;34;51;19,877333156046124;2,258567137236566;21;
graph_1276.txt;300;104;61,3552;32;48;16,46486977950525;2,038219978698237;13;
graph_1278.txt;100;49;60,0646;38;57;14,141851372664274;2,305610641564048;27;
graph_1279.txt;2600;508;75,2521;20;30;41,05402365075493;2,2011756183734605;5;
graph_1280.txt;100;42;54,1208;32;48;22,473443110539804;1,708650270014104;17;
graph_1281.txt;100;38;65,7809;34;51;16,725102179134282;2,2685924401063255;16;
graph_1282.txt;100;35;70,7317;32;48;24,876770780283046;1,8112820807146142;12;
graph_1283.txt;200;64;79,5147;32;48;30,298382110073906;2,0376536405755754;8;
graph_1284.txt;100;20;60,6653;20;30;18,6625178499333;2,0437167500213884;5;
graph_1286.txt;200;76;62,5606;34;51;28,85479296952736;1,9955964047795993;11;
graph_1287.txt;200;72;68,8726;30;45;27,235798593102963;1,7853724786596636;16;
graph_1288.txt;100;49;54,3344;38;57;33,10420979313708;2,517765005048184;27;
graph_129.txt;100;35;58,5115;32;48;20,82169329718716;2,0370528081032426;13;
graph_1290.txt;400;79;74,3122;20;30;30,47690786890693;2,0660931613661946;5;
graph_1291.txt;400;74;76,6076;20;30;27,01104880677715;2,1370330286834736;5;
graph_1292.txt;100;18;69,7951;20;30;21,91439241301659;2,181957288584903;7;
graph_1294.txt;100;36;59,6813;34;51;20,3377660761317;2,166983965674181;18;
graph_1295.txt;400;179;57,7058;36;54;15,09845341681274;1,6465600810338261;19;
graph_1296.txt;100;32;68,1297;32;48;10,224663047257511;1,8863074227460852;8;
graph_1297.txt;100;19;71,2728;20;30;38,91632848045239;2,369051861348752;3;
graph_1298.txt;100;33;76,8322;28;42;15,563417812888725;2,4825216582207608;6;
graph_1299.txt;300;98;63,1198;32;48;28,609689136589626;1,799089397219948;12;
graph_13.txt;100;44;45,0674;38;57;16,27529500455801;2,1526085813983036;29;
graph_1300.txt;500;109;68,853;20;30;44,455880451684315;1,5345311216473458;14;
graph_1301.txt;400;145;58,059;30;45;33,68442272491319;1,8607838213995886;16;
graph_1302.txt;200;81;63,0753;34;51;12,713533565218043;2,110401734168526;14;
graph_1303.txt;100;37;55,6566;34;51;15,310408174084715;2,6467401436492963;15;
graph_1304.txt;100;32;38,9619;30;45;21,06774517855138;1,887376165418158;19;
graph_1305.txt;500;190;69,7777;32;48;21,12828258296569;1,9668596603050787;15;
graph_1306.txt;100;31;60,4138;30;45;9,884797303350265;1,92386154028948;12;
graph_1307.txt;1500;479;81,876;30;45;38,143128821920364;1,8524416365854632;9;
graph_1308.txt;700;274;69,6549;34;51;34,09415305294297;2,5071959079448036;13;
graph_1309.txt;300;150;52,5674;38;57;16,502271898370537;2,2375617862303825;21;
graph_131.txt;100;18;71,6644;20;30;29,266880330422396;1,79802494958151;6;
graph_1311.txt;200;77;61,5306;34;51;22,56705223262205;2,391472618693904;19;
graph_1312.txt;300;123;58,1723;34;51;27,89376502065455;2,0458571629004414;19;
graph_1313.txt;300;118;57,5982;32;48;26,89907276796957;1,6559200866571226;19;
